task_name,temperature,num_completions,execution_time_s,time_per_completion_s
HumanEval_0_has_close_elements,0.2,3,9.8339,3.2780
HumanEval_1_separate_paren_groups,0.2,3,20.0260,6.6753
HumanEval_2_truncate_number,0.2,3,1.0649,0.3550
HumanEval_3_below_zero,0.2,3,7.3454,2.4485
HumanEval_4_mean_absolute_deviation,0.2,3,9.4097,3.1366
HumanEval_5_intersperse,0.2,3,6.9708,2.3236
HumanEval_6_parse_nested_parens,0.2,3,27.3978,9.1326
HumanEval_7_filter_by_substring,0.2,3,4.7925,1.5975
HumanEval_8_sum_product,0.2,3,6.0987,2.0329
HumanEval_9_rolling_max,0.2,3,9.5603,3.1868
HumanEval_10_make_palindrome,0.2,3,87.8643,29.2881
HumanEval_11_string_xor,0.2,3,6.2192,2.0731
HumanEval_12_longest,0.2,3,10.0110,3.3370
HumanEval_13_greatest_common_divisor,0.2,3,7.5492,2.5164
HumanEval_14_all_prefixes,0.2,3,5.4420,1.8140
HumanEval_15_string_sequence,0.2,3,4.0558,1.3519
HumanEval_16_count_distinct_characters,0.2,3,2.2123,0.7374
HumanEval_17_parse_music,0.2,3,107.1081,35.7027
HumanEval_18_how_many_times,0.2,3,10.5797,3.5266
HumanEval_19_sort_numbers,0.2,3,4.4249,1.4750
HumanEval_20_find_closest_elements,0.2,3,46.7354,15.5785
HumanEval_21_rescale_to_unit,0.2,3,13.7725,4.5908
HumanEval_22_filter_integers,0.2,3,1.9934,0.6645
HumanEval_23_strlen,0.2,3,0.5198,0.1733
HumanEval_24_largest_divisor,0.2,3,2.4351,0.8117
HumanEval_25_factorize,0.2,3,5.8183,1.9394
HumanEval_26_remove_duplicates,0.2,3,6.0690,2.0230
HumanEval_27_flip_case,0.2,3,8.8667,2.9556
HumanEval_28_concatenate,0.2,3,13.8731,4.6244
HumanEval_29_filter_by_prefix,0.2,3,5.7570,1.9190
HumanEval_30_get_positive,0.2,3,5.6252,1.8751
HumanEval_31_is_prime,0.2,3,5.3169,1.7723
HumanEval_33_sort_third,0.2,3,174.8386,58.2795
HumanEval_34_unique,0.2,3,6.8717,2.2906
HumanEval_35_max_element,0.2,3,5.8798,1.9599
HumanEval_36_fizz_buzz,0.2,3,10.1516,3.3839
HumanEval_37_sort_even,0.2,3,11.1330,3.7110
HumanEval_39_prime_fib,0.2,3,10.2251,3.4084
HumanEval_40_triples_sum_to_zero,0.2,3,16.1780,5.3927
HumanEval_41_car_race_collision,0.2,3,17.3138,5.7713
