task_name,temperature,execution_time_s
HumanEval_0_has_close_elements,0.2,54.2340
HumanEval_1_separate_paren_groups,0.2,20.6159
HumanEval_2_truncate_number,0.2,1.0299
HumanEval_3_below_zero,0.2,21.2589
HumanEval_4_mean_absolute_deviation,0.2,5.6835
HumanEval_5_intersperse,0.2,54.2573
HumanEval_6_parse_nested_parens,0.2,27.2540
HumanEval_7_filter_by_substring,0.2,55.6632
HumanEval_8_sum_product,0.2,6.7243
HumanEval_9_rolling_max,0.2,41.5190
HumanEval_10_make_palindrome,0.2,19.8824
HumanEval_11_string_xor,0.2,8.2661
HumanEval_12_longest,0.2,7.2458
HumanEval_13_greatest_common_divisor,0.2,41.1479
HumanEval_14_all_prefixes,0.2,54.6649
HumanEval_15_string_sequence,0.2,3.4202
HumanEval_16_count_distinct_characters,0.2,21.6848
HumanEval_17_parse_music,0.2,16.2344
HumanEval_18_how_many_times,0.2,7.0161
HumanEval_19_sort_numbers,0.2,18.9928
HumanEval_20_find_closest_elements,0.2,18.0174
HumanEval_21_rescale_to_unit,0.2,36.2469
HumanEval_22_filter_integers,0.2,56.9633
HumanEval_23_strlen,0.2,37.0315
HumanEval_24_largest_divisor,0.2,40.7529
HumanEval_25_factorize,0.2,9.1824
HumanEval_26_remove_duplicates,0.2,55.2896
HumanEval_27_flip_case,0.2,54.5378
HumanEval_28_concatenate,0.2,55.1371
HumanEval_29_filter_by_prefix,0.2,39.1893
HumanEval_30_get_positive,0.2,1.4393
HumanEval_31_is_prime,0.2,8.0959
HumanEval_33_sort_third,0.2,39.7092
HumanEval_34_unique,0.2,41.8480
HumanEval_35_max_element,0.2,1.0798
HumanEval_36_fizz_buzz,0.2,8.1183
HumanEval_37_sort_even,0.2,57.7361
HumanEval_39_prime_fib,0.2,24.7796
HumanEval_40_triples_sum_to_zero,0.2,34.5161
HumanEval_41_car_race_collision,0.2,40.2603
HumanEval_42_incr_list,0.2,39.3240
HumanEval_43_pairs_sum_to_zero,0.2,21.7699
HumanEval_44_change_base,0.2,20.8119
HumanEval_45_triangle_area,0.2,19.1025
HumanEval_46_fib4,0.2,27.8903
HumanEval_47_median,0.2,7.1893
HumanEval_48_is_palindrome,0.2,56.8841
HumanEval_49_modp,0.2,1.4362
HumanEval_51_remove_vowels,0.2,42.8699
HumanEval_52_below_threshold,0.2,38.3524
HumanEval_53_add,0.2,55.4687
HumanEval_54_same_chars,0.2,41.3373
HumanEval_55_fib,0.2,53.2083
HumanEval_56_correct_bracketing,0.2,38.7735
HumanEval_57_monotonic,0.2,7.6211
HumanEval_58_common,0.2,10.2927
HumanEval_59_largest_prime_factor,0.2,5.8618
HumanEval_60_sum_to_n,0.2,58.4155
HumanEval_61_correct_bracketing,0.2,24.1919
HumanEval_62_derivative,0.2,4.3822
HumanEval_63_fibfib,0.2,11.3205
HumanEval_64_vowels_count,0.2,10.3207
HumanEval_65_circular_shift,0.2,6.2487
HumanEval_66_digitSum,0.2,5.7176
HumanEval_67_fruit_distribution,0.2,3.9307
HumanEval_68_pluck,0.2,16.0900
HumanEval_69_search,0.2,10.4960
HumanEval_70_strange_sort_list,0.2,11.0996
HumanEval_71_triangle_area,0.2,8.8894
HumanEval_72_will_it_fly,0.2,7.0102
HumanEval_73_smallest_change,0.2,22.3233
HumanEval_74_total_match,0.2,7.3364
HumanEval_75_is_multiply_prime,0.2,29.6512
HumanEval_76_is_simple_power,0.2,6.5032
HumanEval_77_iscube,0.2,3.1014
HumanEval_78_hex_key,0.2,7.1688
HumanEval_79_decimal_to_binary,0.2,5.2717
HumanEval_80_is_happy,0.2,8.2255
HumanEval_81_numerical_letter_grade,0.2,37.8166
HumanEval_82_prime_length,0.2,12.6812
HumanEval_83_starts_one_ends,0.2,54.9436
HumanEval_84_solve,0.2,3.4147
HumanEval_85_add,0.2,5.7612
HumanEval_86_anti_shuffle,0.2,3.1947
HumanEval_87_get_row,0.2,12.7168
HumanEval_88_sort_array,0.2,9.5963
HumanEval_89_encrypt,0.2,8.6913
HumanEval_90_next_smallest,0.2,11.8567
HumanEval_91_is_bored,0.2,7.2760
HumanEval_92_any_int,0.2,6.0491
HumanEval_93_encode,0.2,17.2835
HumanEval_94_skjkasdkd,0.2,18.8220
HumanEval_95_check_dict_case,0.2,24.4908
HumanEval_96_count_up_to,0.2,23.6536
HumanEval_97_multiply,0.2,2.2228
HumanEval_98_count_upper,0.2,8.8695
HumanEval_99_closest_integer,0.2,40.9965
HumanEval_100_make_a_pile,0.2,16.4133
HumanEval_101_words_string,0.2,1.5398
HumanEval_102_choose_num,0.2,38.9292
HumanEval_103_rounded_avg,0.2,9.9732
HumanEval_104_unique_digits,0.2,4.5059
HumanEval_105_by_length,0.2,13.4773
HumanEval_106_f,0.2,16.1376
HumanEval_107_even_odd_palindrome,0.2,15.3997
HumanEval_108_count_nums,0.2,12.3270
HumanEval_109_move_one_ball,0.2,40.7237
HumanEval_110_exchange,0.2,13.2577
HumanEval_111_histogram,0.2,10.8189
HumanEval_112_reverse_delete,0.2,4.4315
HumanEval_113_odd_count,0.2,12.2608
HumanEval_114_minSubArraySum,0.2,7.7301
HumanEval_115_max_fill,0.2,8.2930
HumanEval_116_sort_array,0.2,9.2962
HumanEval_117_select_words,0.2,15.8783
HumanEval_118_get_closest_vowel,0.2,15.6784
HumanEval_119_match_parens,0.2,40.3261
HumanEval_120_maximum,0.2,2.0575
HumanEval_121_solution,0.2,4.1735
HumanEval_122_add_elements,0.2,21.3593
HumanEval_123_get_odd_collatz,0.2,29.5779
HumanEval_124_valid_date,0.2,16.2751
HumanEval_125_split_words,0.2,9.2478
HumanEval_126_is_sorted,0.2,4.9277
HumanEval_127_intersection,0.2,12.2798
HumanEval_128_prod_signs,0.2,9.5932
HumanEval_129_minPath,0.2,33.8365
HumanEval_130_tri,0.2,9.8667
HumanEval_131_digits,0.2,23.8852
HumanEval_132_is_nested,0.2,9.8415
HumanEval_133_sum_squares,0.2,2.8291
HumanEval_134_check_if_last_char_is_a_letter,0.2,6.5629
HumanEval_135_can_arrange,0.2,5.2763
HumanEval_136_largest_smallest_integers,0.2,8.0895
HumanEval_137_compare_one,0.2,9.5064
HumanEval_138_is_equal_to_sum_even,0.2,38.7949
HumanEval_139_special_factorial,0.2,39.8019
HumanEval_140_fix_spaces,0.2,19.4516
HumanEval_141_file_name_check,0.2,26.0674
HumanEval_142_sum_squares,0.2,15.9615
HumanEval_143_words_in_sentence,0.2,23.5742
HumanEval_144_simplify,0.2,23.5639
HumanEval_145_order_by_points,0.2,13.3309
HumanEval_146_specialFilter,0.2,10.7099
HumanEval_147_get_max_triples,0.2,55.7005
HumanEval_148_bf,0.2,12.8107
HumanEval_149_sorted_list_sum,0.2,15.5237
HumanEval_150_x_or_y,0.2,55.2326
HumanEval_151_double_the_difference,0.2,6.5626
HumanEval_152_compare,0.2,4.7379
HumanEval_153_Strongest_Extension,0.2,22.9114
HumanEval_154_cycpattern_check,0.2,3.2873
HumanEval_155_even_odd_count,0.2,7.7808
HumanEval_156_int_to_mini_roman,0.2,37.9585
HumanEval_157_right_angle_triangle,0.2,11.3929
HumanEval_158_find_max,0.2,11.2050
HumanEval_159_eat,0.2,4.1152
HumanEval_160_do_algebra,0.2,27.7820
HumanEval_161_solve,0.2,13.2039
HumanEval_162_string_to_md5,0.2,54.1202
HumanEval_163_generate_integers,0.2,8.9444
TOTAL,,3304.0609
