task_name,temperature,num_completions,execution_time_s,time_per_completion_s
HumanEval_0_has_close_elements,0.5,5,34.9962,6.9992
HumanEval_1_separate_paren_groups,0.5,5,29.1056,5.8211
HumanEval_2_truncate_number,0.5,5,19.4594,3.8919
HumanEval_3_below_zero,0.5,5,25.8195,5.1639
HumanEval_4_mean_absolute_deviation,0.5,5,58.2738,11.6548
HumanEval_5_intersperse,0.5,5,75.6917,15.1383
HumanEval_6_parse_nested_parens,0.5,5,47.8800,9.5760
HumanEval_7_filter_by_substring,0.5,5,31.0323,6.2065
HumanEval_8_sum_product,0.5,5,14.4699,2.8940
HumanEval_9_rolling_max,0.5,5,30.8470,6.1694
HumanEval_10_make_palindrome,0.5,5,40.6537,8.1307
HumanEval_11_string_xor,0.5,5,12.7355,2.5471
HumanEval_12_longest,0.5,5,13.5525,2.7105
HumanEval_13_greatest_common_divisor,0.5,5,48.2097,9.6419
HumanEval_14_all_prefixes,0.5,5,74.0022,14.8004
HumanEval_15_string_sequence,0.5,5,15.5059,3.1012
HumanEval_16_count_distinct_characters,0.5,5,12.7589,2.5518
HumanEval_17_parse_music,0.5,5,24.9363,4.9873
HumanEval_18_how_many_times,0.5,5,61.7527,12.3505
HumanEval_19_sort_numbers,0.5,5,16.7008,3.3402
HumanEval_20_find_closest_elements,0.5,5,26.4147,5.2829
HumanEval_21_rescale_to_unit,0.5,5,33.9703,6.7941
HumanEval_22_filter_integers,0.5,5,30.0154,6.0031
HumanEval_23_strlen,0.5,5,70.8624,14.1725
HumanEval_24_largest_divisor,0.5,5,62.5492,12.5098
HumanEval_25_factorize,0.5,5,31.4322,6.2864
HumanEval_26_remove_duplicates,0.5,5,34.3656,6.8731
HumanEval_27_flip_case,0.5,5,35.2942,7.0588
HumanEval_28_concatenate,0.5,5,75.1353,15.0271
HumanEval_29_filter_by_prefix,0.5,5,25.7198,5.1440
HumanEval_30_get_positive,0.5,5,37.6663,7.5333
HumanEval_31_is_prime,0.5,5,13.4744,2.6949
HumanEval_33_sort_third,0.5,5,70.9835,14.1967
HumanEval_34_unique,0.5,5,64.8879,12.9776
HumanEval_35_max_element,0.5,5,39.4430,7.8886
HumanEval_36_fizz_buzz,0.5,5,14.3075,2.8615
HumanEval_37_sort_even,0.5,5,64.3302,12.8660
HumanEval_39_prime_fib,0.5,5,32.7803,6.5561
HumanEval_40_triples_sum_to_zero,0.5,5,63.6427,12.7285
HumanEval_41_car_race_collision,0.5,5,44.0644,8.8129
HumanEval_42_incr_list,0.5,5,50.8424,10.1685
HumanEval_43_pairs_sum_to_zero,0.5,5,32.3210,6.4642
HumanEval_44_change_base,0.5,5,46.0714,9.2143
HumanEval_45_triangle_area,0.5,5,5.1023,1.0205
HumanEval_46_fib4,0.5,5,79.7309,15.9462
HumanEval_47_median,0.5,5,29.5077,5.9015
HumanEval_48_is_palindrome,0.5,5,35.0185,7.0037
HumanEval_49_modp,0.5,5,37.7062,7.5412
HumanEval_51_remove_vowels,0.5,5,49.8599,9.9720
HumanEval_52_below_threshold,0.5,5,17.6484,3.5297
HumanEval_53_add,0.5,5,93.5880,18.7176
HumanEval_54_same_chars,0.5,5,41.1816,8.2363
HumanEval_55_fib,0.5,5,74.9992,14.9998
HumanEval_56_correct_bracketing,0.5,5,62.0731,12.4146
HumanEval_57_monotonic,0.5,5,15.1893,3.0379
HumanEval_58_common,0.5,5,11.5178,2.3036
HumanEval_59_largest_prime_factor,0.5,5,27.5210,5.5042
HumanEval_60_sum_to_n,0.5,5,92.5275,18.5055
HumanEval_61_correct_bracketing,0.5,5,51.3437,10.2687
HumanEval_62_derivative,0.5,5,5.9557,1.1911
HumanEval_63_fibfib,0.5,5,30.8833,6.1767
HumanEval_64_vowels_count,0.5,5,15.5416,3.1083
HumanEval_65_circular_shift,0.5,5,29.2731,5.8546
HumanEval_66_digitSum,0.5,5,8.9490,1.7898
HumanEval_67_fruit_distribution,0.5,5,7.2482,1.4496
HumanEval_68_pluck,0.5,5,24.8602,4.9720
HumanEval_69_search,0.5,5,60.3882,12.0776
HumanEval_70_strange_sort_list,0.5,5,20.0935,4.0187
HumanEval_71_triangle_area,0.5,5,29.1210,5.8242
HumanEval_72_will_it_fly,0.5,5,12.8422,2.5684
HumanEval_73_smallest_change,0.5,5,33.6729,6.7346
HumanEval_74_total_match,0.5,5,14.3981,2.8796
HumanEval_75_is_multiply_prime,0.5,5,46.7763,9.3553
HumanEval_76_is_simple_power,0.5,5,33.2670,6.6534
HumanEval_77_iscube,0.5,5,24.2597,4.8519
HumanEval_78_hex_key,0.5,5,17.0681,3.4136
HumanEval_79_decimal_to_binary,0.5,5,16.0362,3.2072
HumanEval_80_is_happy,0.5,5,36.8203,7.3641
HumanEval_81_numerical_letter_grade,0.5,5,67.2382,13.4476
HumanEval_82_prime_length,0.5,5,17.7839,3.5568
HumanEval_83_starts_one_ends,0.5,5,40.1961,8.0392
HumanEval_84_solve,0.5,5,5.7432,1.1486
HumanEval_85_add,0.5,5,11.6432,2.3286
HumanEval_86_anti_shuffle,0.5,5,6.8772,1.3754
HumanEval_87_get_row,0.5,5,48.5222,9.7044
HumanEval_88_sort_array,0.5,5,13.3384,2.6677
HumanEval_89_encrypt,0.5,5,38.4162,7.6832
HumanEval_90_next_smallest,0.5,5,15.9252,3.1850
HumanEval_91_is_bored,0.5,5,10.7440,2.1488
HumanEval_92_any_int,0.5,5,11.8710,2.3742
HumanEval_93_encode,0.5,5,34.6519,6.9304
HumanEval_94_skjkasdkd,0.5,5,56.4321,11.2864
HumanEval_95_check_dict_case,0.5,5,17.7628,3.5526
HumanEval_96_count_up_to,0.5,5,42.4616,8.4923
HumanEval_97_multiply,0.5,5,5.3664,1.0733
HumanEval_98_count_upper,0.5,5,33.7492,6.7498
HumanEval_99_closest_integer,0.5,5,92.1463,18.4293
