task_name,temperature,num_completions,execution_time_s,time_per_completion_s
HumanEval_0_has_close_elements,0.2,3,16.6462,5.5487
HumanEval_1_separate_paren_groups,0.2,3,12.0552,4.0184
HumanEval_2_truncate_number,0.2,3,16.2554,5.4185
HumanEval_3_below_zero,0.2,3,16.2503,5.4168
HumanEval_4_mean_absolute_deviation,0.2,3,16.2679,5.4226
HumanEval_5_intersperse,0.2,3,2.6501,0.8834
HumanEval_6_parse_nested_parens,0.2,3,4.9827,1.6609
HumanEval_7_filter_by_substring,0.2,3,16.3005,5.4335
HumanEval_8_sum_product,0.2,3,2.8548,0.9516
HumanEval_9_rolling_max,0.2,3,3.3368,1.1123
HumanEval_10_make_palindrome,0.2,3,4.3022,1.4341
HumanEval_11_string_xor,0.2,3,2.4332,0.8111
HumanEval_12_longest,0.2,3,3.5307,1.1769
HumanEval_13_greatest_common_divisor,0.2,3,4.8601,1.6200
HumanEval_14_all_prefixes,0.2,3,16.3165,5.4388
HumanEval_15_string_sequence,0.2,3,1.8653,0.6218
HumanEval_16_count_distinct_characters,0.2,3,11.6492,3.8831
HumanEval_17_parse_music,0.2,3,4.3526,1.4509
HumanEval_18_how_many_times,0.2,3,7.3938,2.4646
HumanEval_19_sort_numbers,0.2,3,2.3763,0.7921
HumanEval_20_find_closest_elements,0.2,3,5.8672,1.9557
HumanEval_21_rescale_to_unit,0.2,3,3.4891,1.1630
HumanEval_22_filter_integers,0.2,3,2.2549,0.7516
HumanEval_23_strlen,0.2,3,7.1910,2.3970
HumanEval_24_largest_divisor,0.2,3,10.9501,3.6500
HumanEval_25_factorize,0.2,3,3.1331,1.0444
HumanEval_26_remove_duplicates,0.2,3,3.7946,1.2649
HumanEval_27_flip_case,0.2,3,2.4033,0.8011
HumanEval_28_concatenate,0.2,3,16.3903,5.4634
HumanEval_29_filter_by_prefix,0.2,3,3.2594,1.0865
HumanEval_30_get_positive,0.2,3,7.4346,2.4782
HumanEval_31_is_prime,0.2,3,16.3903,5.4634
HumanEval_33_sort_third,0.2,3,9.1172,3.0391
HumanEval_34_unique,0.2,3,11.6892,3.8964
HumanEval_35_max_element,0.2,3,16.4320,5.4773
HumanEval_36_fizz_buzz,0.2,3,11.8853,3.9618
HumanEval_37_sort_even,0.2,3,8.6088,2.8696
HumanEval_39_prime_fib,0.2,3,11.2222,3.7407
HumanEval_40_triples_sum_to_zero,0.2,3,13.8453,4.6151
HumanEval_41_car_race_collision,0.2,3,16.4075,5.4692
HumanEval_42_incr_list,0.2,3,1.6613,0.5538
HumanEval_43_pairs_sum_to_zero,0.2,3,16.4206,5.4735
HumanEval_44_change_base,0.2,3,2.8730,0.9577
HumanEval_45_triangle_area,0.2,3,4.0404,1.3468
HumanEval_46_fib4,0.2,3,16.3776,5.4592
HumanEval_47_median,0.2,3,2.9392,0.9797
HumanEval_48_is_palindrome,0.2,3,12.4683,4.1561
HumanEval_49_modp,0.2,3,2.7995,0.9332
HumanEval_51_remove_vowels,0.2,3,3.1924,1.0641
HumanEval_52_below_threshold,0.2,3,6.0485,2.0162
HumanEval_53_add,0.2,3,10.5190,3.5063
HumanEval_54_same_chars,0.2,3,13.9881,4.6627
HumanEval_55_fib,0.2,3,1.4899,0.4966
HumanEval_56_correct_bracketing,0.2,3,16.3922,5.4641
HumanEval_57_monotonic,0.2,3,7.7867,2.5956
HumanEval_58_common,0.2,3,4.8594,1.6198
HumanEval_59_largest_prime_factor,0.2,3,12.3509,4.1170
HumanEval_60_sum_to_n,0.2,3,3.6432,1.2144
HumanEval_61_correct_bracketing,0.2,3,16.3759,5.4586
HumanEval_62_derivative,0.2,3,1.6705,0.5568
HumanEval_63_fibfib,0.2,3,13.1707,4.3902
HumanEval_64_vowels_count,0.2,3,16.4054,5.4685
HumanEval_65_circular_shift,0.2,3,8.2967,2.7656
HumanEval_66_digitSum,0.2,3,2.7378,0.9126
HumanEval_67_fruit_distribution,0.2,3,2.7583,0.9194
HumanEval_68_pluck,0.2,3,5.6158,1.8719
HumanEval_69_search,0.2,3,12.8692,4.2897
HumanEval_70_strange_sort_list,0.2,3,3.0309,1.0103
HumanEval_71_triangle_area,0.2,3,2.1611,0.7204
HumanEval_72_will_it_fly,0.2,3,12.3515,4.1172
HumanEval_73_smallest_change,0.2,3,12.5091,4.1697
HumanEval_74_total_match,0.2,3,5.9083,1.9694
HumanEval_75_is_multiply_prime,0.2,3,16.4011,5.4670
HumanEval_76_is_simple_power,0.2,3,16.4132,5.4711
HumanEval_77_iscube,0.2,3,16.4064,5.4688
HumanEval_78_hex_key,0.2,3,16.4006,5.4669
HumanEval_79_decimal_to_binary,0.2,3,1.9026,0.6342
HumanEval_80_is_happy,0.2,3,16.4068,5.4689
HumanEval_81_numerical_letter_grade,0.2,3,16.3938,5.4646
HumanEval_82_prime_length,0.2,3,16.3697,5.4566
HumanEval_83_starts_one_ends,0.2,3,16.3675,5.4558
HumanEval_84_solve,0.2,3,2.2436,0.7479
HumanEval_85_add,0.2,3,12.6561,4.2187
HumanEval_86_anti_shuffle,0.2,3,2.7574,0.9191
HumanEval_87_get_row,0.2,3,5.9342,1.9781
HumanEval_88_sort_array,0.2,3,5.4032,1.8011
HumanEval_89_encrypt,0.2,3,4.2452,1.4151
HumanEval_90_next_smallest,0.2,3,11.9643,3.9881
HumanEval_91_is_bored,0.2,3,6.4798,2.1599
HumanEval_92_any_int,0.2,3,6.7346,2.2449
HumanEval_93_encode,0.2,3,4.7928,1.5976
HumanEval_94_skjkasdkd,0.2,3,12.2694,4.0898
HumanEval_95_check_dict_case,0.2,3,16.3997,5.4666
HumanEval_96_count_up_to,0.2,3,7.0924,2.3641
HumanEval_97_multiply,0.2,3,1.3427,0.4476
HumanEval_98_count_upper,0.2,3,3.8323,1.2774
HumanEval_99_closest_integer,0.2,3,16.4154,5.4718
HumanEval_100_make_a_pile,0.2,3,2.5440,0.8480
HumanEval_101_words_string,0.2,3,0.3620,0.1207
HumanEval_102_choose_num,0.2,3,2.7242,0.9081
HumanEval_103_rounded_avg,0.2,3,3.7601,1.2534
HumanEval_104_unique_digits,0.2,3,2.7242,0.9081
HumanEval_105_by_length,0.2,3,16.4457,5.4819
HumanEval_106_f,0.2,3,4.4800,1.4933
