task_name,temperature,num_completions,execution_time_s,time_per_completion_s
HumanEval_0_has_close_elements,0.0,1,4.8013,4.8013
HumanEval_1_separate_paren_groups,0.0,1,5.4003,5.4003
HumanEval_2_truncate_number,0.0,1,0.3231,0.3231
HumanEval_3_below_zero,0.0,1,3.2757,3.2757
HumanEval_4_mean_absolute_deviation,0.0,1,4.3559,4.3559
HumanEval_5_intersperse,0.0,1,4.8340,4.8340
HumanEval_6_parse_nested_parens,0.0,1,13.5315,13.5315
HumanEval_7_filter_by_substring,0.0,1,0.5699,0.5699
HumanEval_8_sum_product,0.0,1,5.4040,5.4040
HumanEval_9_rolling_max,0.0,1,2.8317,2.8317
HumanEval_10_make_palindrome,0.0,1,5.8523,5.8523
HumanEval_11_string_xor,0.0,1,4.5026,4.5026
HumanEval_12_longest,0.0,1,5.7501,5.7501
HumanEval_13_greatest_common_divisor,0.0,1,2.8058,2.8058
HumanEval_14_all_prefixes,0.0,1,1.5719,1.5719
HumanEval_15_string_sequence,0.0,1,3.7803,3.7803
HumanEval_16_count_distinct_characters,0.0,1,3.4304,3.4304
HumanEval_17_parse_music,0.0,1,8.6053,8.6053
HumanEval_18_how_many_times,0.0,1,7.9912,7.9912
HumanEval_19_sort_numbers,0.0,1,1.0826,1.0826
HumanEval_20_find_closest_elements,0.0,1,28.5960,28.5960
HumanEval_21_rescale_to_unit,0.0,1,1.9566,1.9566
HumanEval_22_filter_integers,0.0,1,0.6490,0.6490
HumanEval_23_strlen,0.0,1,0.2029,0.2029
HumanEval_24_largest_divisor,0.0,1,3.2750,3.2750
HumanEval_25_factorize,0.0,1,2.9715,2.9715
HumanEval_26_remove_duplicates,0.0,1,5.8489,5.8489
HumanEval_27_flip_case,0.0,1,3.0797,3.0797
HumanEval_28_concatenate,0.0,1,1.2619,1.2619
HumanEval_29_filter_by_prefix,0.0,1,0.3599,0.3599
HumanEval_30_get_positive,0.0,1,2.8423,2.8423
HumanEval_31_is_prime,0.0,1,3.8962,3.8962
HumanEval_33_sort_third,0.0,1,8.7994,8.7994
HumanEval_34_unique,0.0,1,2.4660,2.4660
HumanEval_35_max_element,0.0,1,1.6065,1.6065
HumanEval_36_fizz_buzz,0.0,1,5.6937,5.6937
HumanEval_37_sort_even,0.0,1,6.7585,6.7585
HumanEval_39_prime_fib,0.0,1,11.2812,11.2812
HumanEval_40_triples_sum_to_zero,0.0,1,7.7085,7.7085
HumanEval_41_car_race_collision,0.0,1,5.6412,5.6412
HumanEval_42_incr_list,0.0,1,2.2546,2.2546
HumanEval_43_pairs_sum_to_zero,0.0,1,4.9008,4.9008
HumanEval_44_change_base,0.0,1,2.9650,2.9650
HumanEval_45_triangle_area,0.0,1,2.0051,2.0051
HumanEval_46_fib4,0.0,1,15.7684,15.7684
HumanEval_47_median,0.0,1,5.8887,5.8887
HumanEval_48_is_palindrome,0.0,1,3.3674,3.3674
HumanEval_49_modp,0.0,1,2.1298,2.1298
HumanEval_51_remove_vowels,0.0,1,4.6581,4.6581
HumanEval_52_below_threshold,0.0,1,3.6430,3.6430
HumanEval_53_add,0.0,1,1.5931,1.5931
