task_name,temperature,num_completions,execution_time_s,time_per_completion_s
HumanEval_0_has_close_elements,0.5,5,32.1136,6.4227
HumanEval_1_separate_paren_groups,0.5,5,25.2171,5.0434
HumanEval_2_truncate_number,0.5,5,25.4773,5.0955
HumanEval_3_below_zero,0.5,5,7.5574,1.5115
HumanEval_4_mean_absolute_deviation,0.5,5,21.1789,4.2358
HumanEval_5_intersperse,0.5,5,5.9576,1.1915
HumanEval_6_parse_nested_parens,0.5,5,29.1245,5.8249
HumanEval_7_filter_by_substring,0.5,5,15.3366,3.0673
HumanEval_8_sum_product,0.5,5,7.2667,1.4533
HumanEval_9_rolling_max,0.5,5,23.8577,4.7715
HumanEval_10_make_palindrome,0.5,5,17.3653,3.4731
HumanEval_11_string_xor,0.5,5,7.2097,1.4419
HumanEval_12_longest,0.5,5,7.3091,1.4618
HumanEval_13_greatest_common_divisor,0.5,5,4.3237,0.8647
HumanEval_14_all_prefixes,0.5,5,48.0645,9.6129
HumanEval_15_string_sequence,0.5,5,5.3011,1.0602
HumanEval_16_count_distinct_characters,0.5,5,18.3266,3.6653
HumanEval_17_parse_music,0.5,5,34.0944,6.8189
HumanEval_18_how_many_times,0.5,5,18.5076,3.7015
HumanEval_19_sort_numbers,0.5,5,5.2323,1.0465
HumanEval_20_find_closest_elements,0.5,5,21.1861,4.2372
HumanEval_21_rescale_to_unit,0.5,5,31.3709,6.2742
HumanEval_22_filter_integers,0.5,5,11.0517,2.2103
HumanEval_23_strlen,0.5,5,1.3940,0.2788
HumanEval_24_largest_divisor,0.5,5,7.7214,1.5443
HumanEval_25_factorize,0.5,5,9.5072,1.9014
HumanEval_26_remove_duplicates,0.5,5,13.3784,2.6757
HumanEval_27_flip_case,0.5,5,18.2859,3.6572
HumanEval_28_concatenate,0.5,5,20.0402,4.0080
HumanEval_29_filter_by_prefix,0.5,5,16.5393,3.3079
HumanEval_30_get_positive,0.5,5,14.5299,2.9060
HumanEval_31_is_prime,0.5,5,6.2980,1.2596
HumanEval_33_sort_third,0.5,5,18.5362,3.7072
HumanEval_34_unique,0.5,5,25.1037,5.0207
HumanEval_35_max_element,0.5,5,6.3511,1.2702
HumanEval_36_fizz_buzz,0.5,5,7.9529,1.5906
HumanEval_37_sort_even,0.5,5,13.8555,2.7711
HumanEval_39_prime_fib,0.5,5,21.5788,4.3158
HumanEval_40_triples_sum_to_zero,0.5,5,23.3552,4.6710
HumanEval_41_car_race_collision,0.5,5,38.4494,7.6899
HumanEval_42_incr_list,0.5,5,34.2201,6.8440
HumanEval_43_pairs_sum_to_zero,0.5,5,8.2532,1.6506
HumanEval_44_change_base,0.5,5,7.6033,1.5207
HumanEval_45_triangle_area,0.5,5,13.3900,2.6780
HumanEval_46_fib4,0.5,5,21.5662,4.3132
HumanEval_47_median,0.5,5,6.6967,1.3393
HumanEval_48_is_palindrome,0.5,5,3.1364,0.6273
HumanEval_49_modp,0.5,5,2.4418,0.4884
HumanEval_51_remove_vowels,0.5,5,18.9132,3.7826
HumanEval_52_below_threshold,0.5,5,4.5811,0.9162
HumanEval_53_add,0.5,5,15.2283,3.0457
HumanEval_54_same_chars,0.5,5,10.3188,2.0638
HumanEval_55_fib,0.5,5,6.1443,1.2289
HumanEval_56_correct_bracketing,0.5,5,31.1506,6.2301
HumanEval_57_monotonic,0.5,5,10.6566,2.1313
HumanEval_58_common,0.5,5,8.2703,1.6541
HumanEval_59_largest_prime_factor,0.5,5,9.5119,1.9024
HumanEval_60_sum_to_n,0.5,5,28.0861,5.6172
HumanEval_61_correct_bracketing,0.5,5,23.2083,4.6417
HumanEval_62_derivative,0.5,5,6.8063,1.3613
HumanEval_63_fibfib,0.5,5,11.0788,2.2158
HumanEval_64_vowels_count,0.5,5,60.9537,12.1907
HumanEval_65_circular_shift,0.5,5,9.2179,1.8436
HumanEval_66_digitSum,0.5,5,7.1700,1.4340
HumanEval_67_fruit_distribution,0.5,5,18.2352,3.6470
HumanEval_68_pluck,0.5,5,11.4312,2.2862
HumanEval_69_search,0.5,5,13.0628,2.6126
HumanEval_70_strange_sort_list,0.5,5,16.8685,3.3737
HumanEval_71_triangle_area,0.5,5,8.3172,1.6634
HumanEval_72_will_it_fly,0.5,5,8.6303,1.7261
HumanEval_73_smallest_change,0.5,5,12.4616,2.4923
HumanEval_74_total_match,0.5,5,14.2490,2.8498
HumanEval_75_is_multiply_prime,0.5,5,30.6351,6.1270
HumanEval_76_is_simple_power,0.5,5,6.6790,1.3358
HumanEval_77_iscube,0.5,5,5.1256,1.0251
HumanEval_78_hex_key,0.5,5,15.5851,3.1170
HumanEval_79_decimal_to_binary,0.5,5,3.9807,0.7961
HumanEval_80_is_happy,0.5,5,9.0144,1.8029
HumanEval_81_numerical_letter_grade,0.5,5,44.0733,8.8147
HumanEval_82_prime_length,0.5,5,25.0638,5.0128
HumanEval_83_starts_one_ends,0.5,5,58.6713,11.7343
HumanEval_84_solve,0.5,5,17.2550,3.4510
HumanEval_85_add,0.5,5,23.7613,4.7523
HumanEval_86_anti_shuffle,0.5,5,10.7686,2.1537
HumanEval_87_get_row,0.5,5,20.1933,4.0387
HumanEval_88_sort_array,0.5,5,18.2806,3.6561
HumanEval_89_encrypt,0.5,5,25.2807,5.0561
HumanEval_90_next_smallest,0.5,5,8.4044,1.6809
HumanEval_91_is_bored,0.5,5,7.9098,1.5820
HumanEval_92_any_int,0.5,5,7.8355,1.5671
HumanEval_93_encode,0.5,5,30.0092,6.0018
HumanEval_94_skjkasdkd,0.5,5,33.5844,6.7169
HumanEval_95_check_dict_case,0.5,5,8.7918,1.7584
HumanEval_96_count_up_to,0.5,5,20.3459,4.0692
HumanEval_97_multiply,0.5,5,4.1374,0.8275
HumanEval_98_count_upper,0.5,5,6.5069,1.3014
HumanEval_99_closest_integer,0.5,5,41.3597,8.2719
HumanEval_100_make_a_pile,0.5,5,13.9015,2.7803
HumanEval_101_words_string,0.5,5,5.4964,1.0993
HumanEval_102_choose_num,0.5,5,23.8790,4.7758
HumanEval_103_rounded_avg,0.5,5,7.6430,1.5286
HumanEval_104_unique_digits,0.5,5,14.9222,2.9844
HumanEval_105_by_length,0.5,5,33.8811,6.7762
HumanEval_106_f,0.5,5,12.9860,2.5972
HumanEval_107_even_odd_palindrome,0.5,5,15.1530,3.0306
HumanEval_108_count_nums,0.5,5,15.3238,3.0648
HumanEval_109_move_one_ball,0.5,5,27.4714,5.4943
HumanEval_110_exchange,0.5,5,19.6523,3.9305
HumanEval_111_histogram,0.5,5,19.9844,3.9969
HumanEval_112_reverse_delete,0.5,5,9.6920,1.9384
HumanEval_113_odd_count,0.5,5,12.5602,2.5120
HumanEval_114_minSubArraySum,0.5,5,11.2762,2.2552
HumanEval_115_max_fill,0.5,5,13.9574,2.7915
HumanEval_116_sort_array,0.5,5,9.9330,1.9866
HumanEval_117_select_words,0.5,5,17.9556,3.5911
HumanEval_118_get_closest_vowel,0.5,5,16.1495,3.2299
HumanEval_119_match_parens,0.5,5,11.4102,2.2820
HumanEval_120_maximum,0.5,5,28.3615,5.6723
HumanEval_121_solution,0.5,5,7.6101,1.5220
HumanEval_122_add_elements,0.5,5,9.5736,1.9147
HumanEval_123_get_odd_collatz,0.5,5,11.2449,2.2490
HumanEval_124_valid_date,0.5,5,33.8272,6.7654
HumanEval_125_split_words,0.5,5,16.4390,3.2878
HumanEval_126_is_sorted,0.5,5,8.4258,1.6852
HumanEval_127_intersection,0.5,5,12.1758,2.4352
HumanEval_128_prod_signs,0.5,5,12.1229,2.4246
HumanEval_129_minPath,0.5,5,55.5280,11.1056
HumanEval_130_tri,0.5,5,23.3577,4.6715
HumanEval_131_digits,0.5,5,8.3224,1.6645
HumanEval_132_is_nested,0.5,5,10.2623,2.0525
HumanEval_133_sum_squares,0.5,5,11.2744,2.2549
HumanEval_134_check_if_last_char_is_a_letter,0.5,5,20.2015,4.0403
HumanEval_135_can_arrange,0.5,5,20.5981,4.1196
HumanEval_136_largest_smallest_integers,0.5,5,25.0439,5.0088
HumanEval_137_compare_one,0.5,5,21.0466,4.2093
HumanEval_138_is_equal_to_sum_even,0.5,5,17.0394,3.4079
HumanEval_139_special_factorial,0.5,5,5.7398,1.1480
HumanEval_140_fix_spaces,0.5,5,12.2321,2.4464
HumanEval_141_file_name_check,0.5,5,28.6111,5.7222
HumanEval_142_sum_squares,0.5,5,26.2153,5.2431
HumanEval_143_words_in_sentence,0.5,5,14.7047,2.9409
HumanEval_144_simplify,0.5,5,7.3559,1.4712
HumanEval_145_order_by_points,0.5,5,23.2172,4.6434
HumanEval_146_specialFilter,0.5,5,31.4403,6.2881
HumanEval_147_get_max_triples,0.5,5,15.3045,3.0609
HumanEval_148_bf,0.5,5,17.2636,3.4527
HumanEval_149_sorted_list_sum,0.5,5,14.9799,2.9960
HumanEval_150_x_or_y,0.5,5,8.2507,1.6501
HumanEval_151_double_the_difference,0.5,5,7.3846,1.4769
HumanEval_152_compare,0.5,5,13.2369,2.6474
HumanEval_153_Strongest_Extension,0.5,5,15.0096,3.0019
HumanEval_154_cycpattern_check,0.5,5,7.9406,1.5881
HumanEval_155_even_odd_count,0.5,5,20.0030,4.0006
HumanEval_156_int_to_mini_roman,0.5,5,26.2088,5.2418
HumanEval_157_right_angle_triangle,0.5,5,10.9281,2.1856
HumanEval_158_find_max,0.5,5,15.4220,3.0844
HumanEval_159_eat,0.5,5,5.6627,1.1325
HumanEval_160_do_algebra,0.5,5,23.8659,4.7732
HumanEval_161_solve,0.5,5,10.1715,2.0343
HumanEval_162_string_to_md5,0.5,5,3.6737,0.7347
HumanEval_163_generate_integers,0.5,5,8.4904,1.6981
TOTAL,,,2669.4161,
