task_name,temperature,num_completions,execution_time_s,time_per_completion_s
HumanEval_0_has_close_elements,0.0,1,1.5749,1.5749
HumanEval_1_separate_paren_groups,0.0,1,1.6345,1.6345
HumanEval_2_truncate_number,0.0,1,9.9237,9.9237
HumanEval_3_below_zero,0.0,1,0.9471,0.9471
HumanEval_4_mean_absolute_deviation,0.0,1,1.4378,1.4378
HumanEval_5_intersperse,0.0,1,1.5306,1.5306
HumanEval_6_parse_nested_parens,0.0,1,1.9161,1.9161
HumanEval_7_filter_by_substring,0.0,1,9.9759,9.9759
HumanEval_8_sum_product,0.0,1,0.9973,0.9973
HumanEval_9_rolling_max,0.0,1,9.9605,9.9605
HumanEval_10_make_palindrome,0.0,1,1.2104,1.2104
HumanEval_11_string_xor,0.0,1,1.3918,1.3918
HumanEval_12_longest,0.0,1,12.5473,12.5473
HumanEval_13_greatest_common_divisor,0.0,1,13.1717,13.1717
HumanEval_14_all_prefixes,0.0,1,11.2516,11.2516
HumanEval_15_string_sequence,0.0,1,2.4183,2.4183
HumanEval_16_count_distinct_characters,0.0,1,1.4780,1.4780
HumanEval_17_parse_music,0.0,1,2.1589,2.1589
HumanEval_18_how_many_times,0.0,1,1.6384,1.6384
HumanEval_19_sort_numbers,0.0,1,1.2627,1.2627
HumanEval_20_find_closest_elements,0.0,1,3.0060,3.0060
HumanEval_21_rescale_to_unit,0.0,1,10.4372,10.4372
HumanEval_22_filter_integers,0.0,1,2.2529,2.2529
HumanEval_23_strlen,0.0,1,11.9543,11.9543
HumanEval_24_largest_divisor,0.0,1,6.3131,6.3131
HumanEval_25_factorize,0.0,1,1.1896,1.1896
HumanEval_26_remove_duplicates,0.0,1,1.5061,1.5061
HumanEval_27_flip_case,0.0,1,1.6527,1.6527
HumanEval_28_concatenate,0.0,1,12.0850,12.0850
HumanEval_29_filter_by_prefix,0.0,1,7.8142,7.8142
HumanEval_30_get_positive,0.0,1,2.1264,2.1264
HumanEval_31_is_prime,0.0,1,1.0957,1.0957
HumanEval_33_sort_third,0.0,1,1.5635,1.5635
HumanEval_34_unique,0.0,1,12.7210,12.7210
HumanEval_35_max_element,0.0,1,10.2839,10.2839
HumanEval_36_fizz_buzz,0.0,1,1.7100,1.7100
HumanEval_37_sort_even,0.0,1,2.4665,2.4665
HumanEval_39_prime_fib,0.0,1,1.7095,1.7095
HumanEval_40_triples_sum_to_zero,0.0,1,1.9754,1.9754
HumanEval_41_car_race_collision,0.0,1,3.0238,3.0238
HumanEval_42_incr_list,0.0,1,10.5677,10.5677
HumanEval_43_pairs_sum_to_zero,0.0,1,0.9999,0.9999
HumanEval_44_change_base,0.0,1,9.9870,9.9870
HumanEval_45_triangle_area,0.0,1,9.9375,9.9375
HumanEval_46_fib4,0.0,1,9.9686,9.9686
HumanEval_47_median,0.0,1,1.1536,1.1536
HumanEval_48_is_palindrome,0.0,1,9.8710,9.8710
HumanEval_49_modp,0.0,1,1.3146,1.3146
HumanEval_51_remove_vowels,0.0,1,4.0853,4.0853
HumanEval_52_below_threshold,0.0,1,0.8003,0.8003
HumanEval_53_add,0.0,1,9.9883,9.9883
HumanEval_54_same_chars,0.0,1,2.1237,2.1237
HumanEval_55_fib,0.0,1,9.9479,9.9479
HumanEval_56_correct_bracketing,0.0,1,1.6472,1.6472
HumanEval_57_monotonic,0.0,1,1.5188,1.5188
HumanEval_58_common,0.0,1,1.3696,1.3696
HumanEval_59_largest_prime_factor,0.0,1,1.5525,1.5525
