task_name,temperature,num_completions,execution_time_s,time_per_completion_s
HumanEval_0_has_close_elements,0.0,1,4.2973,4.2973
HumanEval_1_separate_paren_groups,0.0,1,5.5818,5.5818
HumanEval_2_truncate_number,0.0,1,0.3575,0.3575
HumanEval_3_below_zero,0.0,1,2.0779,2.0779
HumanEval_4_mean_absolute_deviation,0.0,1,3.3753,3.3753
HumanEval_5_intersperse,0.0,1,2.5551,2.5551
HumanEval_6_parse_nested_parens,0.0,1,5.4106,5.4106
HumanEval_7_filter_by_substring,0.0,1,1.9365,1.9365
HumanEval_8_sum_product,0.0,1,2.0197,2.0197
HumanEval_9_rolling_max,0.0,1,2.6116,2.6116
HumanEval_10_make_palindrome,0.0,1,3.0137,3.0137
HumanEval_11_string_xor,0.0,1,2.0514,2.0514
HumanEval_12_longest,0.0,1,2.4755,2.4755
HumanEval_13_greatest_common_divisor,0.0,1,3.0103,3.0103
HumanEval_14_all_prefixes,0.0,1,1.5123,1.5123
HumanEval_15_string_sequence,0.0,1,1.0251,1.0251
HumanEval_16_count_distinct_characters,0.0,1,2.9147,2.9147
HumanEval_17_parse_music,0.0,1,6.7711,6.7711
HumanEval_18_how_many_times,0.0,1,4.7379,4.7379
HumanEval_19_sort_numbers,0.0,1,1.7419,1.7419
HumanEval_20_find_closest_elements,0.0,1,10.7235,10.7235
HumanEval_21_rescale_to_unit,0.0,1,3.3411,3.3411
HumanEval_22_filter_integers,0.0,1,0.7552,0.7552
HumanEval_23_strlen,0.0,1,0.1566,0.1566
HumanEval_24_largest_divisor,0.0,1,1.1133,1.1133
HumanEval_25_factorize,0.0,1,1.9503,1.9503
HumanEval_26_remove_duplicates,0.0,1,1.9355,1.9355
HumanEval_27_flip_case,0.0,1,2.8803,2.8803
HumanEval_28_concatenate,0.0,1,1.1767,1.1767
HumanEval_29_filter_by_prefix,0.0,1,1.8272,1.8272
HumanEval_30_get_positive,0.0,1,1.6905,1.6905
HumanEval_31_is_prime,0.0,1,1.7321,1.7321
HumanEval_33_sort_third,0.0,1,3.5547,3.5547
HumanEval_34_unique,0.0,1,2.0130,2.0130
HumanEval_35_max_element,0.0,1,1.8527,1.8527
HumanEval_36_fizz_buzz,0.0,1,3.6172,3.6172
HumanEval_37_sort_even,0.0,1,9.8320,9.8320
HumanEval_39_prime_fib,0.0,1,5.7406,5.7406
HumanEval_40_triples_sum_to_zero,0.0,1,6.2422,6.2422
HumanEval_41_car_race_collision,0.0,1,12.9719,12.9719
HumanEval_42_incr_list,0.0,1,1.7125,1.7125
HumanEval_43_pairs_sum_to_zero,0.0,1,2.2023,2.2023
HumanEval_44_change_base,0.0,1,1.5283,1.5283
HumanEval_45_triangle_area,0.0,1,0.2496,0.2496
HumanEval_46_fib4,0.0,1,107.0435,107.0435
HumanEval_47_median,0.0,1,3.8366,3.8366
HumanEval_48_is_palindrome,0.0,1,2.7216,2.7216
HumanEval_49_modp,0.0,1,2.8646,2.8646
HumanEval_51_remove_vowels,0.0,1,2.9198,2.9198
HumanEval_52_below_threshold,0.0,1,1.3354,1.3354
HumanEval_53_add,0.0,1,0.1886,0.1886
HumanEval_54_same_chars,0.0,1,5.7255,5.7255
HumanEval_55_fib,0.0,1,1.0557,1.0557
HumanEval_56_correct_bracketing,0.0,1,4.3525,4.3525
HumanEval_57_monotonic,0.0,1,3.7546,3.7546
HumanEval_58_common,0.0,1,3.7665,3.7665
HumanEval_59_largest_prime_factor,0.0,1,2.2705,2.2705
HumanEval_60_sum_to_n,0.0,1,0.9704,0.9704
HumanEval_61_correct_bracketing,0.0,1,4.4008,4.4008
HumanEval_62_derivative,0.0,1,1.3427,1.3427
HumanEval_63_fibfib,0.0,1,2.2760,2.2760
HumanEval_64_vowels_count,0.0,1,3.5346,3.5346
HumanEval_65_circular_shift,0.0,1,3.4158,3.4158
HumanEval_66_digitSum,0.0,1,4.8834,4.8834
HumanEval_67_fruit_distribution,0.0,1,1.9908,1.9908
HumanEval_68_pluck,0.0,1,3.2662,3.2662
HumanEval_69_search,0.0,1,3.2536,3.2536
HumanEval_70_strange_sort_list,0.0,1,2.2710,2.2710
HumanEval_71_triangle_area,0.0,1,6.2031,6.2031
HumanEval_72_will_it_fly,0.0,1,154.2869,154.2869
HumanEval_73_smallest_change,0.0,1,3.5003,3.5003
HumanEval_74_total_match,0.0,1,6.7462,6.7462
HumanEval_75_is_multiply_prime,0.0,1,2.4111,2.4111
HumanEval_76_is_simple_power,0.0,1,2.1160,2.1160
HumanEval_77_iscube,0.0,1,1.3768,1.3768
HumanEval_78_hex_key,0.0,1,2.1248,2.1248
HumanEval_79_decimal_to_binary,0.0,1,0.6424,0.6424
HumanEval_80_is_happy,0.0,1,3.3117,3.3117
HumanEval_81_numerical_letter_grade,0.0,1,47.0261,47.0261
HumanEval_82_prime_length,0.0,1,2.5586,2.5586
HumanEval_83_starts_one_ends,0.0,1,3.1921,3.1921
HumanEval_84_solve,0.0,1,2.1237,2.1237
HumanEval_85_add,0.0,1,2.0852,2.0852
HumanEval_86_anti_shuffle,0.0,1,5.1479,5.1479
HumanEval_87_get_row,0.0,1,177.0677,177.0677
HumanEval_88_sort_array,0.0,1,3.7225,3.7225
HumanEval_89_encrypt,0.0,1,5.8029,5.8029
HumanEval_90_next_smallest,0.0,1,6.8967,6.8967
HumanEval_91_is_bored,0.0,1,2.2708,2.2708
HumanEval_92_any_int,0.0,1,4.6347,4.6347
HumanEval_93_encode,0.0,1,6.7077,6.7077
HumanEval_94_skjkasdkd,0.0,1,1.7896,1.7896
HumanEval_95_check_dict_case,0.0,1,2.5972,2.5972
HumanEval_96_count_up_to,0.0,1,1.5110,1.5110
HumanEval_97_multiply,0.0,1,0.9260,0.9260
HumanEval_98_count_upper,0.0,1,4.5682,4.5682
HumanEval_99_closest_integer,0.0,1,12.3475,12.3475
HumanEval_100_make_a_pile,0.0,1,2.5791,2.5791
HumanEval_101_words_string,0.0,1,0.3063,0.3063
HumanEval_102_choose_num,0.0,1,1.6828,1.6828
HumanEval_103_rounded_avg,0.0,1,2.1141,2.1141
HumanEval_104_unique_digits,0.0,1,5.2517,5.2517
HumanEval_105_by_length,0.0,1,10.7528,10.7528
HumanEval_106_f,0.0,1,2.6642,2.6642
HumanEval_107_even_odd_palindrome,0.0,1,2.1913,2.1913
HumanEval_108_count_nums,0.0,1,5.2937,5.2937
HumanEval_109_move_one_ball,0.0,1,2.6683,2.6683
HumanEval_110_exchange,0.0,1,3.1969,3.1969
HumanEval_111_histogram,0.0,1,3.9721,3.9721
HumanEval_112_reverse_delete,0.0,1,2.5365,2.5365
HumanEval_113_odd_count,0.0,1,5.5558,5.5558
HumanEval_114_minSubArraySum,0.0,1,3.7139,3.7139
HumanEval_115_max_fill,0.0,1,7.9604,7.9604
HumanEval_116_sort_array,0.0,1,2.8302,2.8302
HumanEval_117_select_words,0.0,1,111.0258,111.0258
HumanEval_118_get_closest_vowel,0.0,1,8.8664,8.8664
HumanEval_119_match_parens,0.0,1,3.2966,3.2966
HumanEval_120_maximum,0.0,1,0.9402,0.9402
HumanEval_121_solution,0.0,1,2.1612,2.1612
HumanEval_122_add_elements,0.0,1,1.7515,1.7515
HumanEval_123_get_odd_collatz,0.0,1,2.8459,2.8459
HumanEval_124_valid_date,0.0,1,15.0328,15.0328
HumanEval_125_split_words,0.0,1,206.1154,206.1154
HumanEval_126_is_sorted,0.0,1,2.1223,2.1223
HumanEval_127_intersection,0.0,1,6.4312,6.4312
HumanEval_128_prod_signs,0.0,1,3.3549,3.3549
HumanEval_129_minPath,0.0,1,38.2065,38.2065
HumanEval_130_tri,0.0,1,7.2586,7.2586
HumanEval_131_digits,0.0,1,2.7620,2.7620
HumanEval_132_is_nested,0.0,1,4.7455,4.7455
HumanEval_133_sum_squares,0.0,1,1.8538,1.8538
HumanEval_134_check_if_last_char_is_a_letter,0.0,1,3.8824,3.8824
HumanEval_135_can_arrange,0.0,1,1.8809,1.8809
HumanEval_136_largest_smallest_integers,0.0,1,13.9743,13.9743
HumanEval_137_compare_one,0.0,1,15.5966,15.5966
HumanEval_138_is_equal_to_sum_even,0.0,1,1.4247,1.4247
HumanEval_139_special_factorial,0.0,1,1.2428,1.2428
HumanEval_140_fix_spaces,0.0,1,0.9349,0.9349
HumanEval_141_file_name_check,0.0,1,1.1619,1.1619
HumanEval_142_sum_squares,0.0,1,3.2107,3.2107
HumanEval_143_words_in_sentence,0.0,1,4.0834,4.0834
HumanEval_144_simplify,0.0,1,10.0478,10.0478
HumanEval_145_order_by_points,0.0,1,5.3458,5.3458
HumanEval_146_specialFilter,0.0,1,12.8731,12.8731
HumanEval_147_get_max_triples,0.0,1,6.1592,6.1592
HumanEval_148_bf,0.0,1,36.0497,36.0497
HumanEval_149_sorted_list_sum,0.0,1,2.0927,2.0927
HumanEval_150_x_or_y,0.0,1,0.9727,0.9727
HumanEval_151_double_the_difference,0.0,1,2.1507,2.1507
HumanEval_152_compare,0.0,1,3.1172,3.1172
HumanEval_153_Strongest_Extension,0.0,1,6.6318,6.6318
HumanEval_154_cycpattern_check,0.0,1,3.0949,3.0949
HumanEval_155_even_odd_count,0.0,1,4.8820,4.8820
HumanEval_156_int_to_mini_roman,0.0,1,5.9958,5.9958
HumanEval_157_right_angle_triangle,0.0,1,1.9289,1.9289
HumanEval_158_find_max,0.0,1,6.0121,6.0121
HumanEval_159_eat,0.0,1,1.9582,1.9582
HumanEval_160_do_algebra,0.0,1,9.3990,9.3990
HumanEval_161_solve,0.0,1,3.4117,3.4117
HumanEval_162_string_to_md5,0.0,1,1.2869,1.2869
HumanEval_163_generate_integers,0.0,1,1.6826,1.6826
TOTAL,,,1445.9387,
