task_name,temperature,num_completions,execution_time_s,time_per_completion_s
HumanEval_0_has_close_elements,0.2,3,9.6249,3.2083
HumanEval_1_separate_paren_groups,0.2,3,137.0760,45.6920
HumanEval_2_truncate_number,0.2,3,0.8655,0.2885
HumanEval_3_below_zero,0.2,3,6.5169,2.1723
HumanEval_4_mean_absolute_deviation,0.2,3,15.9287,5.3096
HumanEval_5_intersperse,0.2,3,8.2704,2.7568
HumanEval_6_parse_nested_parens,0.2,3,34.8966,11.6322
HumanEval_7_filter_by_substring,0.2,3,1.6975,0.5658
HumanEval_8_sum_product,0.2,3,14.2311,4.7437
HumanEval_9_rolling_max,0.2,3,14.0477,4.6826
HumanEval_10_make_palindrome,0.2,3,53.9048,17.9683
HumanEval_11_string_xor,0.2,3,12.7706,4.2569
HumanEval_12_longest,0.2,3,19.1400,6.3800
HumanEval_13_greatest_common_divisor,0.2,3,5.7836,1.9279
HumanEval_14_all_prefixes,0.2,3,9.6906,3.2302
HumanEval_15_string_sequence,0.2,3,7.8125,2.6042
HumanEval_16_count_distinct_characters,0.2,3,8.6905,2.8968
HumanEval_17_parse_music,0.2,3,23.9678,7.9893
HumanEval_18_how_many_times,0.2,3,13.0334,4.3445
HumanEval_19_sort_numbers,0.2,3,18.6082,6.2027
HumanEval_20_find_closest_elements,0.2,3,47.7215,15.9072
HumanEval_21_rescale_to_unit,0.2,3,16.2679,5.4226
HumanEval_22_filter_integers,0.2,3,5.6778,1.8926
HumanEval_23_strlen,0.2,3,1.6603,0.5534
HumanEval_24_largest_divisor,0.2,3,9.5083,3.1694
HumanEval_25_factorize,0.2,3,17.4095,5.8032
HumanEval_26_remove_duplicates,0.2,3,17.7059,5.9020
HumanEval_27_flip_case,0.2,3,23.8911,7.9637
HumanEval_28_concatenate,0.2,3,2.1268,0.7089
HumanEval_29_filter_by_prefix,0.2,3,3.8656,1.2885
HumanEval_30_get_positive,0.2,3,4.6919,1.5640
HumanEval_31_is_prime,0.2,3,15.7594,5.2531
HumanEval_33_sort_third,0.2,3,42.8237,14.2746
HumanEval_34_unique,0.2,3,3.3418,1.1139
HumanEval_35_max_element,0.2,3,7.9462,2.6487
HumanEval_36_fizz_buzz,0.2,3,34.6669,11.5556
HumanEval_37_sort_even,0.2,3,45.5985,15.1995
HumanEval_39_prime_fib,0.2,3,36.8363,12.2788
HumanEval_40_triples_sum_to_zero,0.2,3,44.4609,14.8203
HumanEval_41_car_race_collision,0.2,3,2.5733,0.8578
HumanEval_42_incr_list,0.2,3,4.7372,1.5791
HumanEval_43_pairs_sum_to_zero,0.2,3,23.9371,7.9790
HumanEval_44_change_base,0.2,3,17.8761,5.9587
