task_name,temperature,execution_time_s
HumanEval_0_has_close_elements,0.0,4.5969
HumanEval_1_separate_paren_groups,0.0,6.8396
HumanEval_2_truncate_number,0.0,1.5088
HumanEval_3_below_zero,0.0,7.1390
HumanEval_4_mean_absolute_deviation,0.0,2.8196
HumanEval_5_intersperse,0.0,3.1443
HumanEval_6_parse_nested_parens,0.0,10.8720
HumanEval_7_filter_by_substring,0.0,0.5895
HumanEval_8_sum_product,0.0,3.7604
HumanEval_9_rolling_max,0.0,3.3986
HumanEval_10_make_palindrome,0.0,3.3991
HumanEval_11_string_xor,0.0,3.0347
HumanEval_12_longest,0.0,6.5456
HumanEval_13_greatest_common_divisor,0.0,1.1698
HumanEval_14_all_prefixes,0.0,2.0131
HumanEval_15_string_sequence,0.0,4.2315
HumanEval_16_count_distinct_characters,0.0,2.3512
HumanEval_17_parse_music,0.0,13.6230
HumanEval_18_how_many_times,0.0,4.0479
HumanEval_19_sort_numbers,0.0,6.3667
HumanEval_20_find_closest_elements,0.0,17.1284
HumanEval_21_rescale_to_unit,0.0,2.3902
HumanEval_22_filter_integers,0.0,0.5492
HumanEval_23_strlen,0.0,0.2916
HumanEval_24_largest_divisor,0.0,1.5745
HumanEval_25_factorize,0.0,4.5375
HumanEval_26_remove_duplicates,0.0,8.4712
HumanEval_27_flip_case,0.0,3.7994
HumanEval_28_concatenate,0.0,0.2915
HumanEval_29_filter_by_prefix,0.0,0.5049
HumanEval_30_get_positive,0.0,2.0514
HumanEval_31_is_prime,0.0,3.9998
HumanEval_33_sort_third,0.0,3.8495
HumanEval_34_unique,0.0,0.8729
HumanEval_35_max_element,0.0,1.2203
HumanEval_36_fizz_buzz,0.0,4.8860
HumanEval_37_sort_even,0.0,17.3238
HumanEval_39_prime_fib,0.0,5.2944
HumanEval_40_triples_sum_to_zero,0.0,5.4397
HumanEval_41_car_race_collision,0.0,0.2482
HumanEval_42_incr_list,0.0,0.5626
HumanEval_43_pairs_sum_to_zero,0.0,6.2331
HumanEval_44_change_base,0.0,2.0820
HumanEval_45_triangle_area,0.0,1.7712
HumanEval_46_fib4,0.0,16.5598
HumanEval_47_median,0.0,6.8275
HumanEval_48_is_palindrome,0.0,0.9939
HumanEval_49_modp,0.0,1.9638
HumanEval_51_remove_vowels,0.0,3.1357
HumanEval_52_below_threshold,0.0,1.8717
HumanEval_53_add,0.0,0.3108
HumanEval_54_same_chars,0.0,2.9945
HumanEval_55_fib,0.0,1.2931
HumanEval_56_correct_bracketing,0.0,7.2376
HumanEval_57_monotonic,0.0,7.1590
HumanEval_58_common,0.0,5.8548
HumanEval_59_largest_prime_factor,0.0,4.4036
HumanEval_60_sum_to_n,0.0,1.5464
HumanEval_61_correct_bracketing,0.0,7.0692
HumanEval_62_derivative,0.0,3.9949
HumanEval_63_fibfib,0.0,14.3476
HumanEval_64_vowels_count,0.0,9.3427
HumanEval_65_circular_shift,0.0,6.3000
HumanEval_66_digitSum,0.0,3.8859
HumanEval_67_fruit_distribution,0.0,3.1726
HumanEval_68_pluck,0.0,6.6738
HumanEval_69_search,0.0,15.1553
HumanEval_70_strange_sort_list,0.0,8.7960
HumanEval_71_triangle_area,0.0,8.0900
HumanEval_72_will_it_fly,0.0,7.4155
HumanEval_73_smallest_change,0.0,4.2580
HumanEval_74_total_match,0.0,8.0652
HumanEval_75_is_multiply_prime,0.0,19.8810
HumanEval_76_is_simple_power,0.0,4.7572
HumanEval_77_iscube,0.0,2.2412
HumanEval_78_hex_key,0.0,6.2396
HumanEval_79_decimal_to_binary,0.0,0.8486
HumanEval_80_is_happy,0.0,7.9504
HumanEval_81_numerical_letter_grade,0.0,52.9844
HumanEval_82_prime_length,0.0,10.7068
HumanEval_83_starts_one_ends,0.0,1.5450
HumanEval_84_solve,0.0,3.6717
HumanEval_85_add,0.0,5.3498
HumanEval_86_anti_shuffle,0.0,3.9211
HumanEval_87_get_row,0.0,13.4369
HumanEval_88_sort_array,0.0,8.6014
HumanEval_89_encrypt,0.0,9.0160
HumanEval_90_next_smallest,0.0,13.5684
HumanEval_91_is_bored,0.0,4.7182
HumanEval_92_any_int,0.0,4.8143
HumanEval_93_encode,0.0,10.9032
HumanEval_94_skjkasdkd,0.0,4.0541
HumanEval_95_check_dict_case,0.0,7.4315
HumanEval_96_count_up_to,0.0,2.1645
HumanEval_97_multiply,0.0,2.5698
HumanEval_98_count_upper,0.0,6.1721
HumanEval_99_closest_integer,0.0,7.9897
HumanEval_100_make_a_pile,0.0,4.3408
HumanEval_101_words_string,0.0,2.5775
HumanEval_102_choose_num,0.0,2.8324
HumanEval_103_rounded_avg,0.0,8.7994
HumanEval_104_unique_digits,0.0,4.8505
HumanEval_105_by_length,0.0,9.9873
HumanEval_106_f,0.0,3.3479
HumanEval_107_even_odd_palindrome,0.0,10.1585
HumanEval_108_count_nums,0.0,22.4570
HumanEval_109_move_one_ball,0.0,7.9268
HumanEval_110_exchange,0.0,7.1080
HumanEval_111_histogram,0.0,6.6937
HumanEval_112_reverse_delete,0.0,5.9621
HumanEval_113_odd_count,0.0,9.6482
HumanEval_114_minSubArraySum,0.0,5.6111
HumanEval_115_max_fill,0.0,5.5572
HumanEval_116_sort_array,0.0,10.9311
HumanEval_117_select_words,0.0,8.6310
HumanEval_118_get_closest_vowel,0.0,10.3101
HumanEval_119_match_parens,0.0,9.6839
HumanEval_120_maximum,0.0,3.6021
HumanEval_121_solution,0.0,5.4735
HumanEval_122_add_elements,0.0,4.3270
HumanEval_123_get_odd_collatz,0.0,6.7238
HumanEval_124_valid_date,0.0,22.2324
HumanEval_125_split_words,0.0,7.5181
HumanEval_126_is_sorted,0.0,3.1730
HumanEval_127_intersection,0.0,11.1618
HumanEval_128_prod_signs,0.0,10.7162
HumanEval_129_minPath,0.0,84.9764
HumanEval_130_tri,0.0,8.8264
HumanEval_131_digits,0.0,5.7328
HumanEval_132_is_nested,0.0,8.4312
HumanEval_133_sum_squares,0.0,4.5722
HumanEval_134_check_if_last_char_is_a_letter,0.0,6.5099
HumanEval_135_can_arrange,0.0,4.0096
HumanEval_136_largest_smallest_integers,0.0,6.6434
HumanEval_137_compare_one,0.0,6.3604
HumanEval_138_is_equal_to_sum_even,0.0,4.1524
HumanEval_139_special_factorial,0.0,1.6368
HumanEval_140_fix_spaces,0.0,18.7209
HumanEval_141_file_name_check,0.0,16.1593
HumanEval_142_sum_squares,0.0,6.0231
HumanEval_143_words_in_sentence,0.0,1.6773
HumanEval_144_simplify,0.0,6.3737
HumanEval_145_order_by_points,0.0,12.1753
HumanEval_146_specialFilter,0.0,9.3661
HumanEval_147_get_max_triples,0.0,10.6888
HumanEval_148_bf,0.0,12.4699
HumanEval_149_sorted_list_sum,0.0,3.2306
HumanEval_150_x_or_y,0.0,0.9767
HumanEval_151_double_the_difference,0.0,4.4191
HumanEval_152_compare,0.0,4.0210
HumanEval_153_Strongest_Extension,0.0,20.2877
HumanEval_154_cycpattern_check,0.0,6.6216
HumanEval_155_even_odd_count,0.0,6.8295
HumanEval_156_int_to_mini_roman,0.0,30.3756
HumanEval_157_right_angle_triangle,0.0,6.4993
HumanEval_158_find_max,0.0,9.4683
HumanEval_159_eat,0.0,3.8887
HumanEval_160_do_algebra,0.0,14.8333
HumanEval_161_solve,0.0,20.4899
HumanEval_162_string_to_md5,0.0,1.3990
HumanEval_163_generate_integers,0.0,4.7575
TOTAL,,1177.0267
