task_name,temperature,execution_time_s
HumanEval_0_has_close_elements,0.0,18.1856
HumanEval_1_separate_paren_groups,0.0,10.0919
HumanEval_2_truncate_number,0.0,0.4187
HumanEval_3_below_zero,0.0,2.5803
HumanEval_4_mean_absolute_deviation,0.0,21.6273
HumanEval_5_intersperse,0.0,17.3889
HumanEval_6_parse_nested_parens,0.0,17.4677
HumanEval_7_filter_by_substring,0.0,18.1240
HumanEval_8_sum_product,0.0,1.8320
HumanEval_9_rolling_max,0.0,18.3199
HumanEval_10_make_palindrome,0.0,15.0888
HumanEval_11_string_xor,0.0,2.7201
HumanEval_12_longest,0.0,2.3323
HumanEval_13_greatest_common_divisor,0.0,17.6529
HumanEval_14_all_prefixes,0.0,18.3497
HumanEval_15_string_sequence,0.0,1.6687
HumanEval_16_count_distinct_characters,0.0,18.4880
HumanEval_17_parse_music,0.0,7.1613
HumanEval_18_how_many_times,0.0,2.0336
HumanEval_19_sort_numbers,0.0,9.6136
HumanEval_20_find_closest_elements,0.0,5.7582
HumanEval_21_rescale_to_unit,0.0,13.9619
HumanEval_22_filter_integers,0.0,18.2353
HumanEval_23_strlen,0.0,19.6929
HumanEval_24_largest_divisor,0.0,18.9730
HumanEval_25_factorize,0.0,1.9706
HumanEval_26_remove_duplicates,0.0,19.1153
HumanEval_27_flip_case,0.0,18.2868
HumanEval_28_concatenate,0.0,17.9912
HumanEval_29_filter_by_prefix,0.0,1.9135
HumanEval_30_get_positive,0.0,0.4706
HumanEval_31_is_prime,0.0,1.9445
HumanEval_33_sort_third,0.0,18.5968
HumanEval_34_unique,0.0,18.9182
HumanEval_35_max_element,0.0,0.3503
HumanEval_36_fizz_buzz,0.0,2.6548
HumanEval_37_sort_even,0.0,18.4173
HumanEval_39_prime_fib,0.0,6.5144
HumanEval_40_triples_sum_to_zero,0.0,12.1947
HumanEval_41_car_race_collision,0.0,18.5695
HumanEval_42_incr_list,0.0,19.1128
HumanEval_43_pairs_sum_to_zero,0.0,1.8620
HumanEval_44_change_base,0.0,19.0456
HumanEval_45_triangle_area,0.0,0.4961
HumanEval_46_fib4,0.0,5.6174
HumanEval_47_median,0.0,2.4411
HumanEval_48_is_palindrome,0.0,19.4835
HumanEval_49_modp,0.0,0.4858
HumanEval_51_remove_vowels,0.0,18.7020
HumanEval_52_below_threshold,0.0,18.1140
HumanEval_53_add,0.0,17.9276
HumanEval_54_same_chars,0.0,18.0306
HumanEval_55_fib,0.0,17.5225
HumanEval_56_correct_bracketing,0.0,2.5778
HumanEval_57_monotonic,0.0,2.5282
HumanEval_58_common,0.0,1.4174
HumanEval_59_largest_prime_factor,0.0,1.8150
HumanEval_60_sum_to_n,0.0,17.3885
HumanEval_61_correct_bracketing,0.0,2.4474
HumanEval_62_derivative,0.0,0.6740
HumanEval_63_fibfib,0.0,3.3075
HumanEval_64_vowels_count,0.0,3.0946
HumanEval_65_circular_shift,0.0,2.1221
HumanEval_66_digitSum,0.0,1.7721
HumanEval_67_fruit_distribution,0.0,1.0583
HumanEval_68_pluck,0.0,5.7166
HumanEval_69_search,0.0,3.3298
HumanEval_70_strange_sort_list,0.0,2.6977
HumanEval_71_triangle_area,0.0,2.9174
HumanEval_72_will_it_fly,0.0,2.4507
HumanEval_73_smallest_change,0.0,1.9724
HumanEval_74_total_match,0.0,2.3222
HumanEval_75_is_multiply_prime,0.0,4.9940
HumanEval_76_is_simple_power,0.0,2.2303
HumanEval_77_iscube,0.0,0.9801
HumanEval_78_hex_key,0.0,2.6881
HumanEval_79_decimal_to_binary,0.0,4.9037
HumanEval_80_is_happy,0.0,3.2262
HumanEval_81_numerical_letter_grade,0.0,17.0623
HumanEval_82_prime_length,0.0,6.2416
HumanEval_83_starts_one_ends,0.0,17.9899
HumanEval_84_solve,0.0,1.0053
HumanEval_85_add,0.0,1.8024
HumanEval_86_anti_shuffle,0.0,0.7705
HumanEval_87_get_row,0.0,4.0199
HumanEval_88_sort_array,0.0,2.6794
HumanEval_89_encrypt,0.0,3.0582
HumanEval_90_next_smallest,0.0,3.8236
HumanEval_91_is_bored,0.0,2.1896
HumanEval_92_any_int,0.0,1.8429
HumanEval_93_encode,0.0,3.9017
HumanEval_94_skjkasdkd,0.0,7.1087
HumanEval_95_check_dict_case,0.0,2.5178
HumanEval_96_count_up_to,0.0,7.8223
HumanEval_97_multiply,0.0,0.7571
HumanEval_98_count_upper,0.0,2.7584
HumanEval_99_closest_integer,0.0,4.6326
HumanEval_100_make_a_pile,0.0,4.9438
HumanEval_101_words_string,0.0,0.5530
HumanEval_102_choose_num,0.0,17.5274
HumanEval_103_rounded_avg,0.0,2.3345
HumanEval_104_unique_digits,0.0,1.4518
HumanEval_105_by_length,0.0,4.8681
HumanEval_106_f,0.0,5.6699
HumanEval_107_even_odd_palindrome,0.0,3.1500
HumanEval_108_count_nums,0.0,6.6103
HumanEval_109_move_one_ball,0.0,4.2352
HumanEval_110_exchange,0.0,6.4046
HumanEval_111_histogram,0.0,3.5528
HumanEval_112_reverse_delete,0.0,2.4646
HumanEval_113_odd_count,0.0,7.4000
HumanEval_114_minSubArraySum,0.0,3.4088
HumanEval_115_max_fill,0.0,4.7462
HumanEval_116_sort_array,0.0,5.2638
HumanEval_117_select_words,0.0,9.0443
HumanEval_118_get_closest_vowel,0.0,4.0748
HumanEval_119_match_parens,0.0,3.9982
HumanEval_120_maximum,0.0,0.7647
HumanEval_121_solution,0.0,1.7932
HumanEval_122_add_elements,0.0,2.2546
HumanEval_123_get_odd_collatz,0.0,6.9413
HumanEval_124_valid_date,0.0,6.4344
HumanEval_125_split_words,0.0,3.5524
HumanEval_126_is_sorted,0.0,1.9468
HumanEval_127_intersection,0.0,4.4000
HumanEval_128_prod_signs,0.0,3.4605
HumanEval_129_minPath,0.0,13.7093
HumanEval_130_tri,0.0,3.2745
HumanEval_131_digits,0.0,3.0908
HumanEval_132_is_nested,0.0,4.5859
HumanEval_133_sum_squares,0.0,0.9408
HumanEval_134_check_if_last_char_is_a_letter,0.0,3.9117
HumanEval_135_can_arrange,0.0,2.6026
HumanEval_136_largest_smallest_integers,0.0,3.6068
HumanEval_137_compare_one,0.0,4.2357
HumanEval_138_is_equal_to_sum_even,0.0,25.4794
HumanEval_139_special_factorial,0.0,24.9324
HumanEval_140_fix_spaces,0.0,8.4838
HumanEval_141_file_name_check,0.0,8.8997
HumanEval_142_sum_squares,0.0,6.6581
HumanEval_143_words_in_sentence,0.0,6.6121
HumanEval_144_simplify,0.0,2.3697
HumanEval_145_order_by_points,0.0,3.9126
HumanEval_146_specialFilter,0.0,4.3945
HumanEval_147_get_max_triples,0.0,24.1864
HumanEval_148_bf,0.0,6.0750
HumanEval_149_sorted_list_sum,0.0,1.0642
