Comparison: humaneval-js-Qwen_Qwen2.5_Coder_3B_Instruct-0.0-unconstrained vs humaneval-js-Qwen_Qwen2.5_Coder_3B_Instruct-0.0-syncode
================================================================================

Total changed test cases: 100

HumanEval_101_words_string: OK -> SyntaxError
HumanEval_103_rounded_avg: AssertionError -> SyntaxError
HumanEval_104_unique_digits: OK -> SyntaxError
HumanEval_105_by_length: OK -> SyntaxError
HumanEval_107_even_odd_palindrome: OK -> SyntaxError
HumanEval_108_count_nums: OK -> SyntaxError
HumanEval_110_exchange: OK -> SyntaxError
HumanEval_111_histogram: AssertionError -> SyntaxError
HumanEval_112_reverse_delete: OK -> SyntaxError
HumanEval_113_odd_count: OK -> SyntaxError
HumanEval_114_minSubArraySum: OK -> SyntaxError
HumanEval_115_max_fill: AssertionError -> SyntaxError
HumanEval_116_sort_array: OK -> SyntaxError
HumanEval_118_get_closest_vowel: OK -> SyntaxError
HumanEval_119_match_parens: AssertionError -> SyntaxError
HumanEval_120_maximum: AssertionError -> SyntaxError
HumanEval_121_solution: OK -> SyntaxError
HumanEval_122_add_elements: AssertionError -> SyntaxError
HumanEval_124_valid_date: AssertionError -> SyntaxError
HumanEval_125_split_words: AssertionError -> SyntaxError
HumanEval_126_is_sorted: AssertionError -> SyntaxError
HumanEval_127_intersection: AssertionError -> SyntaxError
HumanEval_128_prod_signs: OK -> SyntaxError
HumanEval_12_longest: OK -> SyntaxError
HumanEval_130_tri: AssertionError -> SyntaxError
HumanEval_131_digits: OK -> SyntaxError
HumanEval_132_is_nested: AssertionError -> SyntaxError
HumanEval_133_sum_squares: OK -> SyntaxError
HumanEval_134_check_if_last_char_is_a_letter: AssertionError -> SyntaxError
HumanEval_135_can_arrange: OK -> SyntaxError
HumanEval_136_largest_smallest_integers: OK -> SyntaxError
HumanEval_137_compare_one: AssertionError -> SyntaxError
HumanEval_141_file_name_check: OK -> SyntaxError
HumanEval_144_simplify: AssertionError -> SyntaxError
HumanEval_145_order_by_points: AssertionError -> SyntaxError
HumanEval_146_specialFilter: AssertionError -> SyntaxError
HumanEval_149_sorted_list_sum: AssertionError -> SyntaxError
HumanEval_151_double_the_difference: AssertionError -> SyntaxError
HumanEval_152_compare: OK -> SyntaxError
HumanEval_153_Strongest_Extension: OK -> SyntaxError
HumanEval_154_cycpattern_check: OK -> SyntaxError
HumanEval_155_even_odd_count: AssertionError -> SyntaxError
HumanEval_157_right_angle_triangle: OK -> SyntaxError
HumanEval_158_find_max: AssertionError -> SyntaxError
HumanEval_159_eat: OK -> SyntaxError
HumanEval_15_string_sequence: OK -> SyntaxError
HumanEval_161_solve: OK -> SyntaxError
HumanEval_163_generate_integers: AssertionError -> SyntaxError
HumanEval_18_how_many_times: OK -> SyntaxError
HumanEval_20_find_closest_elements: OK -> SyntaxError
HumanEval_25_factorize: OK -> SyntaxError
HumanEval_2_truncate_number: OK -> SyntaxError
HumanEval_30_get_positive: OK -> SyntaxError
HumanEval_31_is_prime: OK -> SyntaxError
HumanEval_35_max_element: OK -> SyntaxError
HumanEval_36_fizz_buzz: OK -> SyntaxError
HumanEval_3_below_zero: OK -> SyntaxError
HumanEval_43_pairs_sum_to_zero: OK -> SyntaxError
HumanEval_45_triangle_area: OK -> SyntaxError
HumanEval_46_fib4: OK -> SyntaxError
HumanEval_47_median: OK -> SyntaxError
HumanEval_49_modp: AssertionError -> SyntaxError
HumanEval_56_correct_bracketing: OK -> SyntaxError
HumanEval_57_monotonic: OK -> SyntaxError
HumanEval_58_common: OK -> SyntaxError
HumanEval_59_largest_prime_factor: OK -> SyntaxError
HumanEval_61_correct_bracketing: OK -> SyntaxError
HumanEval_62_derivative: OK -> SyntaxError
HumanEval_63_fibfib: OK -> SyntaxError
HumanEval_64_vowels_count: AssertionError -> SyntaxError
HumanEval_65_circular_shift: OK -> SyntaxError
HumanEval_66_digitSum: OK -> SyntaxError
HumanEval_67_fruit_distribution: OK -> SyntaxError
HumanEval_69_search: OK -> SyntaxError
HumanEval_70_strange_sort_list: OK -> SyntaxError
HumanEval_71_triangle_area: OK -> SyntaxError
HumanEval_72_will_it_fly: OK -> SyntaxError
HumanEval_73_smallest_change: OK -> SyntaxError
HumanEval_74_total_match: OK -> SyntaxError
HumanEval_75_is_multiply_prime: AssertionError -> SyntaxError
HumanEval_76_is_simple_power: OK -> SyntaxError
HumanEval_77_iscube: OK -> SyntaxError
HumanEval_78_hex_key: OK -> SyntaxError
HumanEval_80_is_happy: OK -> SyntaxError
HumanEval_82_prime_length: OK -> SyntaxError
HumanEval_84_solve: AssertionError -> SyntaxError
HumanEval_85_add: OK -> SyntaxError
HumanEval_86_anti_shuffle: OK -> SyntaxError
HumanEval_87_get_row: OK -> SyntaxError
HumanEval_88_sort_array: OK -> SyntaxError
HumanEval_89_encrypt: OK -> SyntaxError
HumanEval_8_sum_product: OK -> SyntaxError
HumanEval_90_next_smallest: OK -> SyntaxError
HumanEval_91_is_bored: AssertionError -> SyntaxError
HumanEval_92_any_int: AssertionError -> SyntaxError
HumanEval_93_encode: AssertionError -> SyntaxError
HumanEval_95_check_dict_case: AssertionError -> SyntaxError
HumanEval_97_multiply: OK -> SyntaxError
HumanEval_98_count_upper: OK -> SyntaxError
HumanEval_99_closest_integer: AssertionError -> SyntaxError
