task_name,temperature,num_completions,execution_time_s,time_per_completion_s
HumanEval_0_has_close_elements,0.0,1,5.8466,5.8466
HumanEval_1_separate_paren_groups,0.0,1,3.0428,3.0428
HumanEval_2_truncate_number,0.0,1,5.4164,5.4164
HumanEval_3_below_zero,0.0,1,5.4266,5.4266
HumanEval_4_mean_absolute_deviation,0.0,1,5.4156,5.4156
HumanEval_5_intersperse,0.0,1,1.0104,1.0104
HumanEval_6_parse_nested_parens,0.0,1,1.7025,1.7025
HumanEval_7_filter_by_substring,0.0,1,5.4138,5.4138
HumanEval_8_sum_product,0.0,1,0.9475,0.9475
HumanEval_9_rolling_max,0.0,1,1.1268,1.1268
HumanEval_10_make_palindrome,0.0,1,1.3173,1.3173
HumanEval_11_string_xor,0.0,1,0.8103,0.8103
HumanEval_12_longest,0.0,1,1.1792,1.1792
HumanEval_13_greatest_common_divisor,0.0,1,1.0356,1.0356
HumanEval_14_all_prefixes,0.0,1,5.3979,5.3979
HumanEval_15_string_sequence,0.0,1,0.7026,0.7026
HumanEval_16_count_distinct_characters,0.0,1,5.4091,5.4091
HumanEval_17_parse_music,0.0,1,1.4202,1.4202
HumanEval_18_how_many_times,0.0,1,0.9450,0.9450
HumanEval_19_sort_numbers,0.0,1,1.6419,1.6419
HumanEval_20_find_closest_elements,0.0,1,1.8871,1.8871
HumanEval_21_rescale_to_unit,0.0,1,1.1512,1.1512
HumanEval_22_filter_integers,0.0,1,0.7435,0.7435
HumanEval_23_strlen,0.0,1,5.4056,5.4056
HumanEval_24_largest_divisor,0.0,1,2.7635,2.7635
HumanEval_25_factorize,0.0,1,1.2863,1.2863
HumanEval_26_remove_duplicates,0.0,1,0.7840,0.7840
HumanEval_27_flip_case,0.0,1,0.7889,0.7889
HumanEval_28_concatenate,0.0,1,5.4011,5.4011
HumanEval_29_filter_by_prefix,0.0,1,0.6268,0.6268
HumanEval_30_get_positive,0.0,1,0.7632,0.7632
HumanEval_31_is_prime,0.0,1,5.4178,5.4178
HumanEval_33_sort_third,0.0,1,5.4147,5.4147
HumanEval_34_unique,0.0,1,1.1553,1.1553
HumanEval_35_max_element,0.0,1,0.7512,0.7512
HumanEval_36_fizz_buzz,0.0,1,5.4128,5.4128
HumanEval_37_sort_even,0.0,1,2.4011,2.4011
HumanEval_39_prime_fib,0.0,1,5.4143,5.4143
HumanEval_40_triples_sum_to_zero,0.0,1,5.4187,5.4187
HumanEval_41_car_race_collision,0.0,1,5.4143,5.4143
HumanEval_42_incr_list,0.0,1,0.1365,0.1365
HumanEval_43_pairs_sum_to_zero,0.0,1,5.4147,5.4147
HumanEval_44_change_base,0.0,1,0.9447,0.9447
HumanEval_45_triangle_area,0.0,1,1.1526,1.1526
HumanEval_46_fib4,0.0,1,5.4259,5.4259
HumanEval_47_median,0.0,1,1.2036,1.2036
HumanEval_48_is_palindrome,0.0,1,5.4155,5.4155
HumanEval_49_modp,0.0,1,1.0736,1.0736
HumanEval_51_remove_vowels,0.0,1,1.2982,1.2982
HumanEval_52_below_threshold,0.0,1,0.3874,0.3874
HumanEval_53_add,0.0,1,1.9413,1.9413
HumanEval_54_same_chars,0.0,1,5.4157,5.4157
HumanEval_55_fib,0.0,1,0.3551,0.3551
HumanEval_56_correct_bracketing,0.0,1,5.4161,5.4161
HumanEval_57_monotonic,0.0,1,5.4070,5.4070
HumanEval_58_common,0.0,1,1.7971,1.7971
HumanEval_59_largest_prime_factor,0.0,1,1.4190,1.4190
HumanEval_60_sum_to_n,0.0,1,1.6840,1.6840
HumanEval_61_correct_bracketing,0.0,1,5.4106,5.4106
HumanEval_62_derivative,0.0,1,0.3893,0.3893
HumanEval_63_fibfib,0.0,1,5.4115,5.4115
HumanEval_64_vowels_count,0.0,1,5.4094,5.4094
HumanEval_65_circular_shift,0.0,1,1.7109,1.7109
