task_name,temperature,num_completions,execution_time_s,time_per_completion_s
HumanEval_0_has_close_elements,0.2,3,5.7074,1.9025
HumanEval_1_separate_paren_groups,0.2,3,11.5481,3.8494
HumanEval_2_truncate_number,0.2,3,0.4488,0.1496
HumanEval_3_below_zero,0.2,3,3.3634,1.1211
HumanEval_4_mean_absolute_deviation,0.2,3,8.1612,2.7204
HumanEval_5_intersperse,0.2,3,4.6169,1.5390
HumanEval_6_parse_nested_parens,0.2,3,17.8703,5.9568
HumanEval_7_filter_by_substring,0.2,3,0.6576,0.2192
HumanEval_8_sum_product,0.2,3,3.8604,1.2868
HumanEval_9_rolling_max,0.2,3,5.4305,1.8102
HumanEval_10_make_palindrome,0.2,3,13.3627,4.4542
HumanEval_11_string_xor,0.2,3,4.1756,1.3919
HumanEval_12_longest,0.2,3,6.0259,2.0086
HumanEval_13_greatest_common_divisor,0.2,3,1.5515,0.5172
HumanEval_14_all_prefixes,0.2,3,2.9544,0.9848
HumanEval_15_string_sequence,0.2,3,2.8218,0.9406
HumanEval_16_count_distinct_characters,0.2,3,3.2197,1.0732
HumanEval_17_parse_music,0.2,3,6.7758,2.2586
HumanEval_18_how_many_times,0.2,3,3.2089,1.0696
HumanEval_19_sort_numbers,0.2,3,6.2385,2.0795
HumanEval_20_find_closest_elements,0.2,3,16.1204,5.3735
HumanEval_21_rescale_to_unit,0.2,3,3.6616,1.2205
HumanEval_22_filter_integers,0.2,3,1.0244,0.3415
HumanEval_23_strlen,0.2,3,0.2738,0.0913
HumanEval_24_largest_divisor,0.2,3,1.9699,0.6566
HumanEval_25_factorize,0.2,3,3.5438,1.1813
HumanEval_26_remove_duplicates,0.2,3,3.9471,1.3157
HumanEval_27_flip_case,0.2,3,5.7232,1.9077
HumanEval_28_concatenate,0.2,3,0.9071,0.3024
HumanEval_29_filter_by_prefix,0.2,3,0.6052,0.2017
HumanEval_30_get_positive,0.2,3,0.5880,0.1960
HumanEval_31_is_prime,0.2,3,3.1937,1.0646
HumanEval_33_sort_third,0.2,3,16.5827,5.5276
HumanEval_34_unique,0.2,3,0.8054,0.2685
HumanEval_35_max_element,0.2,3,0.5935,0.1978
HumanEval_36_fizz_buzz,0.2,3,6.5352,2.1784
HumanEval_37_sort_even,0.2,3,9.0375,3.0125
HumanEval_39_prime_fib,0.2,3,7.6507,2.5502
HumanEval_40_triples_sum_to_zero,0.2,3,7.8377,2.6126
HumanEval_41_car_race_collision,0.2,3,0.3067,0.1022
HumanEval_42_incr_list,0.2,3,2.2310,0.7437
HumanEval_43_pairs_sum_to_zero,0.2,3,4.6441,1.5480
HumanEval_44_change_base,0.2,3,2.9765,0.9922
HumanEval_45_triangle_area,0.2,3,0.5103,0.1701
HumanEval_46_fib4,0.2,3,14.3995,4.7998
HumanEval_47_median,0.2,3,6.8762,2.2921
HumanEval_48_is_palindrome,0.2,3,1.7376,0.5792
HumanEval_49_modp,0.2,3,2.4316,0.8105
HumanEval_51_remove_vowels,0.2,3,2.8523,0.9508
HumanEval_52_below_threshold,0.2,3,5.5372,1.8457
HumanEval_53_add,0.2,3,0.3128,0.1043
HumanEval_54_same_chars,0.2,3,5.2725,1.7575
HumanEval_55_fib,0.2,3,2.2644,0.7548
HumanEval_56_correct_bracketing,0.2,3,7.3291,2.4430
