task_name,temperature,num_completions,execution_time_s,time_per_completion_s
HumanEval_0_has_close_elements,0.0,1,5.4316,5.4316
HumanEval_1_separate_paren_groups,0.0,1,11.1926,11.1926
HumanEval_2_truncate_number,0.0,1,0.4942,0.4942
HumanEval_3_below_zero,0.0,1,4.2175,4.2175
HumanEval_4_mean_absolute_deviation,0.0,1,4.1707,4.1707
HumanEval_5_intersperse,0.0,1,6.0224,6.0224
HumanEval_6_parse_nested_parens,0.0,1,19.7378,19.7378
HumanEval_7_filter_by_substring,0.0,1,0.7964,0.7964
HumanEval_8_sum_product,0.0,1,5.3285,5.3285
HumanEval_9_rolling_max,0.0,1,6.0952,6.0952
HumanEval_10_make_palindrome,0.0,1,6.2209,6.2209
HumanEval_11_string_xor,0.0,1,5.1737,5.1737
HumanEval_12_longest,0.0,1,7.4765,7.4765
HumanEval_13_greatest_common_divisor,0.0,1,1.7908,1.7908
HumanEval_14_all_prefixes,0.0,1,3.6762,3.6762
HumanEval_15_string_sequence,0.0,1,4.7794,4.7794
HumanEval_16_count_distinct_characters,0.0,1,5.1764,5.1764
HumanEval_17_parse_music,0.0,1,26.1522,26.1522
HumanEval_18_how_many_times,0.0,1,5.8468,5.8468
HumanEval_19_sort_numbers,0.0,1,12.1814,12.1814
HumanEval_20_find_closest_elements,0.0,1,30.5457,30.5457
HumanEval_21_rescale_to_unit,0.0,1,4.4657,4.4657
HumanEval_22_filter_integers,0.0,1,1.0449,1.0449
HumanEval_23_strlen,0.0,1,0.4859,0.4859
HumanEval_24_largest_divisor,0.0,1,3.0957,3.0957
HumanEval_25_factorize,0.0,1,5.7522,5.7522
HumanEval_26_remove_duplicates,0.0,1,17.3279,17.3279
HumanEval_27_flip_case,0.0,1,7.9830,7.9830
HumanEval_28_concatenate,0.0,1,0.5898,0.5898
HumanEval_29_filter_by_prefix,0.0,1,1.1012,1.1012
HumanEval_30_get_positive,0.0,1,1.0793,1.0793
HumanEval_31_is_prime,0.0,1,5.8107,5.8107
HumanEval_33_sort_third,0.0,1,8.4507,8.4507
HumanEval_34_unique,0.0,1,1.9401,1.9401
HumanEval_35_max_element,0.0,1,0.7668,0.7668
HumanEval_36_fizz_buzz,0.0,1,8.8330,8.8330
HumanEval_37_sort_even,0.0,1,34.9450,34.9450
HumanEval_39_prime_fib,0.0,1,12.2803,12.2803
HumanEval_40_triples_sum_to_zero,0.0,1,13.9015,13.9015
HumanEval_41_car_race_collision,0.0,1,0.5476,0.5476
HumanEval_42_incr_list,0.0,1,1.3094,1.3094
HumanEval_43_pairs_sum_to_zero,0.0,1,7.1507,7.1507
HumanEval_44_change_base,0.0,1,4.9507,4.9507
HumanEval_45_triangle_area,0.0,1,1.2720,1.2720
HumanEval_46_fib4,0.0,1,28.0739,28.0739
HumanEval_47_median,0.0,1,10.6105,10.6105
HumanEval_48_is_palindrome,0.0,1,2.5837,2.5837
HumanEval_49_modp,0.0,1,1.4458,1.4458
HumanEval_51_remove_vowels,0.0,1,7.9774,7.9774
HumanEval_52_below_threshold,0.0,1,4.7253,4.7253
HumanEval_53_add,0.0,1,0.8450,0.8450
HumanEval_54_same_chars,0.0,1,7.6213,7.6213
HumanEval_55_fib,0.0,1,3.3590,3.3590
HumanEval_56_correct_bracketing,0.0,1,11.4365,11.4365
HumanEval_57_monotonic,0.0,1,12.3693,12.3693
HumanEval_58_common,0.0,1,6.3583,6.3583
HumanEval_59_largest_prime_factor,0.0,1,7.5220,7.5220
HumanEval_60_sum_to_n,0.0,1,4.3168,4.3168
HumanEval_61_correct_bracketing,0.0,1,12.2756,12.2756
HumanEval_62_derivative,0.0,1,2.6953,2.6953
HumanEval_63_fibfib,0.0,1,22.1405,22.1405
HumanEval_64_vowels_count,0.0,1,14.1447,14.1447
HumanEval_65_circular_shift,0.0,1,9.8771,9.8771
HumanEval_66_digitSum,0.0,1,7.1546,7.1546
HumanEval_67_fruit_distribution,0.0,1,7.3786,7.3786
HumanEval_68_pluck,0.0,1,16.4708,16.4708
HumanEval_69_search,0.0,1,22.7196,22.7196
HumanEval_70_strange_sort_list,0.0,1,16.6375,16.6375
HumanEval_71_triangle_area,0.0,1,16.1460,16.1460
HumanEval_72_will_it_fly,0.0,1,13.3102,13.3102
HumanEval_73_smallest_change,0.0,1,9.8460,9.8460
HumanEval_74_total_match,0.0,1,13.5272,13.5272
HumanEval_75_is_multiply_prime,0.0,1,39.1166,39.1166
HumanEval_76_is_simple_power,0.0,1,8.6642,8.6642
HumanEval_77_iscube,0.0,1,2.5810,2.5810
HumanEval_78_hex_key,0.0,1,18.1933,18.1933
HumanEval_79_decimal_to_binary,0.0,1,2.8704,2.8704
HumanEval_80_is_happy,0.0,1,15.3781,15.3781
HumanEval_81_numerical_letter_grade,0.0,1,63.9269,63.9269
HumanEval_82_prime_length,0.0,1,28.6026,28.6026
HumanEval_83_starts_one_ends,0.0,1,5.2602,5.2602
HumanEval_84_solve,0.0,1,6.0873,6.0873
HumanEval_85_add,0.0,1,10.5671,10.5671
HumanEval_86_anti_shuffle,0.0,1,8.8926,8.8926
HumanEval_87_get_row,0.0,1,31.3831,31.3831
HumanEval_88_sort_array,0.0,1,15.9382,15.9382
HumanEval_89_encrypt,0.0,1,19.7483,19.7483
HumanEval_90_next_smallest,0.0,1,30.0144,30.0144
HumanEval_91_is_bored,0.0,1,13.1933,13.1933
HumanEval_92_any_int,0.0,1,12.5911,12.5911
HumanEval_93_encode,0.0,1,32.1218,32.1218
HumanEval_94_skjkasdkd,0.0,1,14.1910,14.1910
HumanEval_95_check_dict_case,0.0,1,16.9268,16.9268
HumanEval_96_count_up_to,0.0,1,8.2384,8.2384
HumanEval_97_multiply,0.0,1,4.0876,4.0876
HumanEval_98_count_upper,0.0,1,18.1874,18.1874
HumanEval_99_closest_integer,0.0,1,27.4954,27.4954
HumanEval_100_make_a_pile,0.0,1,17.0863,17.0863
HumanEval_101_words_string,0.0,1,3.2548,3.2548
HumanEval_102_choose_num,0.0,1,13.0468,13.0468
HumanEval_103_rounded_avg,0.0,1,16.6309,16.6309
HumanEval_104_unique_digits,0.0,1,8.6026,8.6026
HumanEval_105_by_length,0.0,1,31.7603,31.7603
HumanEval_106_f,0.0,1,13.0683,13.0683
HumanEval_107_even_odd_palindrome,0.0,1,21.8043,21.8043
HumanEval_108_count_nums,0.0,1,59.4272,59.4272
HumanEval_109_move_one_ball,0.0,1,20.3070,20.3070
HumanEval_110_exchange,0.0,1,24.1602,24.1602
HumanEval_111_histogram,0.0,1,17.8481,17.8481
HumanEval_112_reverse_delete,0.0,1,10.9940,10.9940
HumanEval_113_odd_count,0.0,1,21.7596,21.7596
HumanEval_114_minSubArraySum,0.0,1,18.2154,18.2154
HumanEval_115_max_fill,0.0,1,18.4910,18.4910
HumanEval_116_sort_array,0.0,1,23.2363,23.2363
HumanEval_117_select_words,0.0,1,40.7987,40.7987
HumanEval_118_get_closest_vowel,0.0,1,25.6891,25.6891
HumanEval_119_match_parens,0.0,1,26.0905,26.0905
HumanEval_120_maximum,0.0,1,4.6189,4.6189
HumanEval_121_solution,0.0,1,9.4462,9.4462
HumanEval_122_add_elements,0.0,1,13.7771,13.7771
HumanEval_123_get_odd_collatz,0.0,1,28.8284,28.8284
HumanEval_124_valid_date,0.0,1,55.4419,55.4419
HumanEval_125_split_words,0.0,1,26.2867,26.2867
HumanEval_126_is_sorted,0.0,1,11.3758,11.3758
HumanEval_127_intersection,0.0,1,39.8430,39.8430
HumanEval_128_prod_signs,0.0,1,26.4656,26.4656
HumanEval_129_minPath,0.0,1,61.3623,61.3623
HumanEval_130_tri,0.0,1,24.8235,24.8235
HumanEval_131_digits,0.0,1,22.1109,22.1109
HumanEval_132_is_nested,0.0,1,33.0040,33.0040
HumanEval_133_sum_squares,0.0,1,7.7586,7.7586
HumanEval_134_check_if_last_char_is_a_letter,0.0,1,17.9211,17.9211
HumanEval_135_can_arrange,0.0,1,14.6871,14.6871
HumanEval_136_largest_smallest_integers,0.0,1,23.6957,23.6957
HumanEval_137_compare_one,0.0,1,26.7995,26.7995
HumanEval_138_is_equal_to_sum_even,0.0,1,22.0342,22.0342
HumanEval_139_special_factorial,0.0,1,9.2252,9.2252
HumanEval_140_fix_spaces,0.0,1,61.6714,61.6714
HumanEval_141_file_name_check,0.0,1,48.7254,48.7254
HumanEval_142_sum_squares,0.0,1,28.4002,28.4002
HumanEval_143_words_in_sentence,0.0,1,10.5997,10.5997
HumanEval_144_simplify,0.0,1,19.2274,19.2274
HumanEval_145_order_by_points,0.0,1,34.2344,34.2344
HumanEval_146_specialFilter,0.0,1,33.8135,33.8135
HumanEval_147_get_max_triples,0.0,1,45.3859,45.3859
HumanEval_148_bf,0.0,1,41.7321,41.7321
HumanEval_149_sorted_list_sum,0.0,1,5.8319,5.8319
HumanEval_150_x_or_y,0.0,1,6.2415,6.2415
HumanEval_151_double_the_difference,0.0,1,18.4844,18.4844
