task_name,temperature,num_completions,execution_time_s,time_per_completion_s
HumanEval_0_has_close_elements,0.5,5,22.4683,4.4937
HumanEval_1_separate_paren_groups,0.5,5,50.6137,10.1227
HumanEval_2_truncate_number,0.5,5,9.3352,1.8670
HumanEval_3_below_zero,0.5,5,15.1957,3.0391
HumanEval_4_mean_absolute_deviation,0.5,5,27.2948,5.4590
HumanEval_5_intersperse,0.5,5,13.9137,2.7827
HumanEval_6_parse_nested_parens,0.5,5,68.3933,13.6787
HumanEval_7_filter_by_substring,0.5,5,4.6990,0.9398
HumanEval_8_sum_product,0.5,5,25.7619,5.1524
HumanEval_9_rolling_max,0.5,5,18.3649,3.6730
HumanEval_10_make_palindrome,0.5,5,88.9929,17.7986
HumanEval_11_string_xor,0.5,5,21.7355,4.3471
HumanEval_12_longest,0.5,5,36.5017,7.3003
HumanEval_13_greatest_common_divisor,0.5,5,8.8051,1.7610
HumanEval_14_all_prefixes,0.5,5,10.6335,2.1267
HumanEval_15_string_sequence,0.5,5,27.4846,5.4969
HumanEval_16_count_distinct_characters,0.5,5,14.2050,2.8410
HumanEval_17_parse_music,0.5,5,49.3654,9.8731
HumanEval_18_how_many_times,0.5,5,23.2937,4.6587
HumanEval_19_sort_numbers,0.5,5,25.0515,5.0103
HumanEval_20_find_closest_elements,0.5,5,65.9314,13.1863
HumanEval_21_rescale_to_unit,0.5,5,12.5935,2.5187
HumanEval_22_filter_integers,0.5,5,79.9532,15.9906
HumanEval_23_strlen,0.5,5,6.0324,1.2065
HumanEval_24_largest_divisor,0.5,5,9.1303,1.8261
HumanEval_25_factorize,0.5,5,18.2367,3.6473
HumanEval_26_remove_duplicates,0.5,5,24.9791,4.9958
HumanEval_27_flip_case,0.5,5,28.8918,5.7784
HumanEval_28_concatenate,0.5,5,3.2810,0.6562
HumanEval_29_filter_by_prefix,0.5,5,2.6397,0.5279
HumanEval_30_get_positive,0.5,5,4.9277,0.9855
HumanEval_31_is_prime,0.5,5,17.4485,3.4897
HumanEval_33_sort_third,0.5,5,63.2312,12.6462
HumanEval_34_unique,0.5,5,27.2418,5.4484
HumanEval_35_max_element,0.5,5,10.5601,2.1120
HumanEval_36_fizz_buzz,0.5,5,37.3866,7.4773
HumanEval_37_sort_even,0.5,5,74.4345,14.8869
HumanEval_39_prime_fib,0.5,5,54.4740,10.8948
HumanEval_40_triples_sum_to_zero,0.5,5,36.9297,7.3859
HumanEval_41_car_race_collision,0.5,5,3.7078,0.7416
HumanEval_42_incr_list,0.5,5,3.7839,0.7568
HumanEval_43_pairs_sum_to_zero,0.5,5,30.9474,6.1895
HumanEval_44_change_base,0.5,5,18.3230,3.6646
HumanEval_45_triangle_area,0.5,5,12.2599,2.4520
HumanEval_46_fib4,0.5,5,55.4798,11.0960
HumanEval_47_median,0.5,5,56.2288,11.2458
HumanEval_48_is_palindrome,0.5,5,8.2472,1.6494
HumanEval_49_modp,0.5,5,6.2121,1.2424
