task_name,temperature,num_completions,execution_time_s,time_per_completion_s
HumanEval_0_has_close_elements,0.0,1,2.0177,2.0177
HumanEval_1_separate_paren_groups,0.0,1,2.7204,2.7204
HumanEval_2_truncate_number,0.0,1,11.7255,11.7255
HumanEval_3_below_zero,0.0,1,1.1824,1.1824
HumanEval_4_mean_absolute_deviation,0.0,1,1.5000,1.5000
HumanEval_5_intersperse,0.0,1,1.2939,1.2939
HumanEval_6_parse_nested_parens,0.0,1,3.6041,3.6041
HumanEval_7_filter_by_substring,0.0,1,2.3287,2.3287
HumanEval_8_sum_product,0.0,1,1.2592,1.2592
HumanEval_9_rolling_max,0.0,1,2.4946,2.4946
HumanEval_10_make_palindrome,0.0,1,2.2528,2.2528
HumanEval_11_string_xor,0.0,1,1.3462,1.3462
HumanEval_12_longest,0.0,1,1.5279,1.5279
HumanEval_13_greatest_common_divisor,0.0,1,0.6270,0.6270
HumanEval_14_all_prefixes,0.0,1,12.6913,12.6913
HumanEval_15_string_sequence,0.0,1,0.8923,0.8923
HumanEval_16_count_distinct_characters,0.0,1,0.8495,0.8495
HumanEval_17_parse_music,0.0,1,2.2351,2.2351
HumanEval_18_how_many_times,0.0,1,1.7993,1.7993
HumanEval_19_sort_numbers,0.0,1,0.9573,0.9573
HumanEval_20_find_closest_elements,0.0,1,5.2788,5.2788
HumanEval_21_rescale_to_unit,0.0,1,13.1967,13.1967
HumanEval_22_filter_integers,0.0,1,12.2942,12.2942
HumanEval_23_strlen,0.0,1,11.7093,11.7093
HumanEval_24_largest_divisor,0.0,1,0.8520,0.8520
HumanEval_25_factorize,0.0,1,1.1419,1.1419
HumanEval_26_remove_duplicates,0.0,1,1.3076,1.3076
HumanEval_27_flip_case,0.0,1,1.7547,1.7547
HumanEval_28_concatenate,0.0,1,11.8440,11.8440
HumanEval_29_filter_by_prefix,0.0,1,11.9527,11.9527
HumanEval_30_get_positive,0.0,1,0.4167,0.4167
HumanEval_31_is_prime,0.0,1,1.2397,1.2397
HumanEval_33_sort_third,0.0,1,1.7936,1.7936
HumanEval_34_unique,0.0,1,0.3647,0.3647
HumanEval_35_max_element,0.0,1,0.2169,0.2169
HumanEval_36_fizz_buzz,0.0,1,1.5492,1.5492
HumanEval_37_sort_even,0.0,1,1.8125,1.8125
HumanEval_39_prime_fib,0.0,1,2.4622,2.4622
HumanEval_40_triples_sum_to_zero,0.0,1,2.2177,2.2177
HumanEval_41_car_race_collision,0.0,1,2.4237,2.4237
HumanEval_42_incr_list,0.0,1,0.4144,0.4144
HumanEval_43_pairs_sum_to_zero,0.0,1,1.5170,1.5170
HumanEval_44_change_base,0.0,1,0.9786,0.9786
HumanEval_45_triangle_area,0.0,1,0.3368,0.3368
HumanEval_46_fib4,0.0,1,2.9936,2.9936
HumanEval_47_median,0.0,1,1.7355,1.7355
HumanEval_48_is_palindrome,0.0,1,0.4816,0.4816
HumanEval_49_modp,0.0,1,0.3462,0.3462
HumanEval_51_remove_vowels,0.0,1,1.3373,1.3373
HumanEval_52_below_threshold,0.0,1,0.8607,0.8607
HumanEval_53_add,0.0,1,0.1905,0.1905
HumanEval_54_same_chars,0.0,1,1.4015,1.4015
HumanEval_55_fib,0.0,1,0.8139,0.8139
HumanEval_56_correct_bracketing,0.0,1,2.0279,2.0279
HumanEval_57_monotonic,0.0,1,2.2098,2.2098
HumanEval_58_common,0.0,1,1.4016,1.4016
HumanEval_59_largest_prime_factor,0.0,1,1.1755,1.1755
HumanEval_60_sum_to_n,0.0,1,0.8901,0.8901
HumanEval_61_correct_bracketing,0.0,1,2.0101,2.0101
HumanEval_62_derivative,0.0,1,0.9242,0.9242
HumanEval_63_fibfib,0.0,1,2.9010,2.9010
HumanEval_64_vowels_count,0.0,1,15.7518,15.7518
HumanEval_65_circular_shift,0.0,1,1.8336,1.8336
HumanEval_66_digitSum,0.0,1,1.6211,1.6211
HumanEval_67_fruit_distribution,0.0,1,0.7918,0.7918
HumanEval_68_pluck,0.0,1,2.4587,2.4587
HumanEval_69_search,0.0,1,3.6163,3.6163
HumanEval_70_strange_sort_list,0.0,1,2.5399,2.5399
HumanEval_71_triangle_area,0.0,1,2.3354,2.3354
HumanEval_72_will_it_fly,0.0,1,3.2634,3.2634
HumanEval_73_smallest_change,0.0,1,2.0001,2.0001
HumanEval_74_total_match,0.0,1,2.6418,2.6418
HumanEval_75_is_multiply_prime,0.0,1,1.8833,1.8833
HumanEval_76_is_simple_power,0.0,1,1.6706,1.6706
HumanEval_77_iscube,0.0,1,0.5226,0.5226
HumanEval_78_hex_key,0.0,1,1.9628,1.9628
HumanEval_79_decimal_to_binary,0.0,1,0.5248,0.5248
HumanEval_80_is_happy,0.0,1,1.7485,1.7485
HumanEval_81_numerical_letter_grade,0.0,1,8.9210,8.9210
HumanEval_82_prime_length,0.0,1,1.3784,1.3784
HumanEval_83_starts_one_ends,0.0,1,12.0413,12.0413
HumanEval_84_solve,0.0,1,1.0129,1.0129
HumanEval_85_add,0.0,1,0.8758,0.8758
HumanEval_86_anti_shuffle,0.0,1,2.3020,2.3020
HumanEval_87_get_row,0.0,1,2.3856,2.3856
HumanEval_88_sort_array,0.0,1,1.4698,1.4698
HumanEval_89_encrypt,0.0,1,1.6106,1.6106
HumanEval_90_next_smallest,0.0,1,2.4953,2.4953
HumanEval_91_is_bored,0.0,1,1.5999,1.5999
HumanEval_92_any_int,0.0,1,1.5316,1.5316
HumanEval_93_encode,0.0,1,12.6307,12.6307
HumanEval_94_skjkasdkd,0.0,1,3.6519,3.6519
HumanEval_95_check_dict_case,0.0,1,1.0657,1.0657
HumanEval_96_count_up_to,0.0,1,1.9354,1.9354
HumanEval_97_multiply,0.0,1,0.5906,0.5906
HumanEval_98_count_upper,0.0,1,1.2827,1.2827
HumanEval_99_closest_integer,0.0,1,12.3800,12.3800
HumanEval_100_make_a_pile,0.0,1,1.8247,1.8247
HumanEval_101_words_string,0.0,1,0.3209,0.3209
HumanEval_102_choose_num,0.0,1,1.2016,1.2016
HumanEval_103_rounded_avg,0.0,1,1.7277,1.7277
HumanEval_104_unique_digits,0.0,1,2.8405,2.8405
HumanEval_105_by_length,0.0,1,6.8074,6.8074
HumanEval_106_f,0.0,1,3.4947,3.4947
HumanEval_107_even_odd_palindrome,0.0,1,3.6930,3.6930
HumanEval_108_count_nums,0.0,1,3.7780,3.7780
HumanEval_109_move_one_ball,0.0,1,2.1743,2.1743
HumanEval_110_exchange,0.0,1,1.9688,1.9688
HumanEval_111_histogram,0.0,1,1.5614,1.5614
HumanEval_112_reverse_delete,0.0,1,0.9487,0.9487
HumanEval_113_odd_count,0.0,1,2.7929,2.7929
HumanEval_114_minSubArraySum,0.0,1,1.7552,1.7552
HumanEval_115_max_fill,0.0,1,1.8317,1.8317
HumanEval_116_sort_array,0.0,1,2.0463,2.0463
HumanEval_117_select_words,0.0,1,3.2502,3.2502
HumanEval_118_get_closest_vowel,0.0,1,2.1819,2.1819
HumanEval_119_match_parens,0.0,1,2.3428,2.3428
HumanEval_120_maximum,0.0,1,12.1242,12.1242
HumanEval_121_solution,0.0,1,1.2804,1.2804
HumanEval_122_add_elements,0.0,1,1.3957,1.3957
HumanEval_123_get_odd_collatz,0.0,1,1.8526,1.8526
HumanEval_124_valid_date,0.0,1,3.8023,3.8023
HumanEval_125_split_words,0.0,1,3.7673,3.7673
HumanEval_126_is_sorted,0.0,1,1.1057,1.1057
HumanEval_127_intersection,0.0,1,1.6030,1.6030
HumanEval_128_prod_signs,0.0,1,2.0529,2.0529
HumanEval_129_minPath,0.0,1,12.3991,12.3991
HumanEval_130_tri,0.0,1,1.5413,1.5413
HumanEval_131_digits,0.0,1,2.0403,2.0403
HumanEval_132_is_nested,0.0,1,2.1275,2.1275
HumanEval_133_sum_squares,0.0,1,0.8346,0.8346
HumanEval_134_check_if_last_char_is_a_letter,0.0,1,13.6165,13.6165
HumanEval_135_can_arrange,0.0,1,1.1705,1.1705
HumanEval_136_largest_smallest_integers,0.0,1,4.9856,4.9856
HumanEval_137_compare_one,0.0,1,3.5991,3.5991
HumanEval_138_is_equal_to_sum_even,0.0,1,1.9830,1.9830
HumanEval_139_special_factorial,0.0,1,1.1392,1.1392
HumanEval_140_fix_spaces,0.0,1,3.0039,3.0039
HumanEval_141_file_name_check,0.0,1,1.5417,1.5417
HumanEval_142_sum_squares,0.0,1,2.2794,2.2794
HumanEval_143_words_in_sentence,0.0,1,3.5234,3.5234
HumanEval_144_simplify,0.0,1,5.7060,5.7060
HumanEval_145_order_by_points,0.0,1,14.5690,14.5690
HumanEval_146_specialFilter,0.0,1,1.6389,1.6389
HumanEval_147_get_max_triples,0.0,1,3.0640,3.0640
HumanEval_148_bf,0.0,1,2.9822,2.9822
HumanEval_149_sorted_list_sum,0.0,1,0.9364,0.9364
HumanEval_150_x_or_y,0.0,1,2.0685,2.0685
HumanEval_151_double_the_difference,0.0,1,1.6032,1.6032
HumanEval_152_compare,0.0,1,1.0093,1.0093
HumanEval_153_Strongest_Extension,0.0,1,2.5188,2.5188
HumanEval_154_cycpattern_check,0.0,1,0.5780,0.5780
HumanEval_155_even_odd_count,0.0,1,1.6739,1.6739
HumanEval_156_int_to_mini_roman,0.0,1,3.7379,3.7379
HumanEval_157_right_angle_triangle,0.0,1,0.8738,0.8738
HumanEval_158_find_max,0.0,1,1.5065,1.5065
HumanEval_159_eat,0.0,1,1.0897,1.0897
HumanEval_160_do_algebra,0.0,1,3.2462,3.2462
HumanEval_161_solve,0.0,1,1.9724,1.9724
HumanEval_162_string_to_md5,0.0,1,1.3717,1.3717
HumanEval_163_generate_integers,0.0,1,1.1335,1.1335
TOTAL,,,473.0017,
