task_name,temperature,num_completions,execution_time_s,time_per_completion_s
HumanEval_0_has_close_elements,0.0,1,3.2921,3.2921
HumanEval_1_separate_paren_groups,0.0,1,61.4673,61.4673
HumanEval_2_truncate_number,0.0,1,0.2735,0.2735
HumanEval_3_below_zero,0.0,1,1.8767,1.8767
HumanEval_4_mean_absolute_deviation,0.0,1,2.6767,2.6767
HumanEval_5_intersperse,0.0,1,2.9189,2.9189
HumanEval_6_parse_nested_parens,0.0,1,11.8919,11.8919
HumanEval_7_filter_by_substring,0.0,1,0.3780,0.3780
HumanEval_8_sum_product,0.0,1,2.5256,2.5256
HumanEval_9_rolling_max,0.0,1,3.8353,3.8353
HumanEval_10_make_palindrome,0.0,1,10.7290,10.7290
HumanEval_11_string_xor,0.0,1,3.0430,3.0430
HumanEval_12_longest,0.0,1,4.6776,4.6776
HumanEval_13_greatest_common_divisor,0.0,1,1.1825,1.1825
HumanEval_14_all_prefixes,0.0,1,2.0883,2.0883
HumanEval_15_string_sequence,0.0,1,1.6270,1.6270
HumanEval_16_count_distinct_characters,0.0,1,2.5558,2.5558
HumanEval_17_parse_music,0.0,1,5.3683,5.3683
HumanEval_18_how_many_times,0.0,1,2.5799,2.5799
HumanEval_19_sort_numbers,0.0,1,8.4404,8.4404
HumanEval_20_find_closest_elements,0.0,1,10.7824,10.7824
HumanEval_21_rescale_to_unit,0.0,1,4.4185,4.4185
HumanEval_22_filter_integers,0.0,1,0.9064,0.9064
HumanEval_23_strlen,0.0,1,0.2580,0.2580
HumanEval_24_largest_divisor,0.0,1,2.0363,2.0363
HumanEval_25_factorize,0.0,1,5.7567,5.7567
HumanEval_26_remove_duplicates,0.0,1,3.4051,3.4051
HumanEval_27_flip_case,0.0,1,5.0016,5.0016
HumanEval_28_concatenate,0.0,1,0.6271,0.6271
HumanEval_29_filter_by_prefix,0.0,1,0.6655,0.6655
HumanEval_30_get_positive,0.0,1,0.5882,0.5882
HumanEval_31_is_prime,0.0,1,2.9326,2.9326
HumanEval_33_sort_third,0.0,1,5.6736,5.6736
HumanEval_34_unique,0.0,1,1.0087,1.0087
HumanEval_35_max_element,0.0,1,0.4284,0.4284
HumanEval_36_fizz_buzz,0.0,1,7.7330,7.7330
HumanEval_37_sort_even,0.0,1,5.7035,5.7035
HumanEval_39_prime_fib,0.0,1,7.1991,7.1991
HumanEval_40_triples_sum_to_zero,0.0,1,6.9133,6.9133
HumanEval_41_car_race_collision,0.0,1,0.3535,0.3535
HumanEval_42_incr_list,0.0,1,0.6944,0.6944
HumanEval_43_pairs_sum_to_zero,0.0,1,4.8528,4.8528
HumanEval_44_change_base,0.0,1,3.3179,3.3179
HumanEval_45_triangle_area,0.0,1,0.5795,0.5795
HumanEval_46_fib4,0.0,1,13.8595,13.8595
HumanEval_47_median,0.0,1,5.8779,5.8779
HumanEval_48_is_palindrome,0.0,1,8.6947,8.6947
HumanEval_49_modp,0.0,1,2.9168,2.9168
