task_name,temperature,num_completions,execution_time_s,time_per_completion_s
HumanEval_0_has_close_elements,0.2,3,201.6343,67.2114
HumanEval_1_separate_paren_groups,0.2,3,367.9348,122.6449
HumanEval_2_truncate_number,0.2,3,6.6471,2.2157
HumanEval_3_below_zero,0.2,3,89.0659,29.6886
HumanEval_4_mean_absolute_deviation,0.2,3,374.5775,124.8592
HumanEval_5_intersperse,0.2,3,382.3318,127.4439
HumanEval_6_parse_nested_parens,0.2,3,369.2488,123.0829
HumanEval_7_filter_by_substring,0.2,3,16.6603,5.5534
HumanEval_8_sum_product,0.2,3,249.2014,83.0671
HumanEval_9_rolling_max,0.2,3,273.9940,91.3313
HumanEval_10_make_palindrome,0.2,3,293.6216,97.8739
HumanEval_11_string_xor,0.2,3,105.7424,35.2475
HumanEval_12_longest,0.2,3,367.8709,122.6236
HumanEval_13_greatest_common_divisor,0.2,3,108.2738,36.0913
HumanEval_14_all_prefixes,0.2,3,70.1900,23.3967
HumanEval_15_string_sequence,0.2,3,55.2817,18.4272
HumanEval_16_count_distinct_characters,0.2,3,16.4170,5.4723
HumanEval_17_parse_music,0.2,3,205.5654,68.5218
HumanEval_18_how_many_times,0.2,3,140.5150,46.8383
HumanEval_19_sort_numbers,0.2,3,378.3693,126.1231
HumanEval_20_find_closest_elements,0.2,3,380.7712,126.9237
HumanEval_21_rescale_to_unit,0.2,3,120.5006,40.1669
HumanEval_22_filter_integers,0.2,3,22.3386,7.4462
HumanEval_23_strlen,0.2,3,3.6055,1.2018
HumanEval_24_largest_divisor,0.2,3,86.8388,28.9463
HumanEval_25_factorize,0.2,3,112.4848,37.4949
HumanEval_26_remove_duplicates,0.2,3,375.1744,125.0581
HumanEval_27_flip_case,0.2,3,62.1885,20.7295
HumanEval_28_concatenate,0.2,3,20.4842,6.8281
HumanEval_29_filter_by_prefix,0.2,3,10.5847,3.5282
HumanEval_30_get_positive,0.2,3,21.0068,7.0023
HumanEval_31_is_prime,0.2,3,366.5516,122.1839
HumanEval_33_sort_third,0.2,3,349.6023,116.5341
HumanEval_34_unique,0.2,3,6.2246,2.0749
HumanEval_35_max_element,0.2,3,157.9482,52.6494
HumanEval_36_fizz_buzz,0.2,3,192.4383,64.1461
HumanEval_37_sort_even,0.2,3,383.7305,127.9102
HumanEval_39_prime_fib,0.2,3,377.1967,125.7322
HumanEval_40_triples_sum_to_zero,0.2,3,364.8666,121.6222
HumanEval_41_car_race_collision,0.2,3,5.2862,1.7621
HumanEval_42_incr_list,0.2,3,10.6962,3.5654
HumanEval_43_pairs_sum_to_zero,0.2,3,155.5469,51.8490
HumanEval_44_change_base,0.2,3,173.9954,57.9985
HumanEval_45_triangle_area,0.2,3,9.4486,3.1495
HumanEval_46_fib4,0.2,3,394.6218,131.5406
HumanEval_47_median,0.2,3,382.5715,127.5238
HumanEval_48_is_palindrome,0.2,3,75.1880,25.0627
HumanEval_49_modp,0.2,3,10.8062,3.6021
HumanEval_51_remove_vowels,0.2,3,10.1365,3.3788
HumanEval_52_below_threshold,0.2,3,59.2951,19.7650
HumanEval_53_add,0.2,3,5.3304,1.7768
HumanEval_54_same_chars,0.2,3,29.2119,9.7373
HumanEval_55_fib,0.2,3,35.4020,11.8007
HumanEval_56_correct_bracketing,0.2,3,182.3130,60.7710
HumanEval_57_monotonic,0.2,3,379.1764,126.3921
HumanEval_58_common,0.2,3,26.0295,8.6765
HumanEval_59_largest_prime_factor,0.2,3,298.8870,99.6290
HumanEval_60_sum_to_n,0.2,3,57.8080,19.2693
HumanEval_61_correct_bracketing,0.2,3,185.3920,61.7973
HumanEval_62_derivative,0.2,3,274.1391,91.3797
HumanEval_63_fibfib,0.2,3,408.8945,136.2982
HumanEval_64_vowels_count,0.2,3,315.8028,105.2676
HumanEval_65_circular_shift,0.2,3,280.0571,93.3524
HumanEval_66_digitSum,0.2,3,157.2194,52.4065
HumanEval_67_fruit_distribution,0.2,3,185.3396,61.7799
HumanEval_68_pluck,0.2,3,375.6876,125.2292
HumanEval_69_search,0.2,3,369.7951,123.2650
HumanEval_70_strange_sort_list,0.2,3,216.5941,72.1980
HumanEval_71_triangle_area,0.2,3,376.1528,125.3843
HumanEval_72_will_it_fly,0.2,3,383.9601,127.9867
HumanEval_73_smallest_change,0.2,3,147.5782,49.1927
HumanEval_74_total_match,0.2,3,131.7513,43.9171
HumanEval_75_is_multiply_prime,0.2,3,292.8986,97.6329
HumanEval_76_is_simple_power,0.2,3,83.7886,27.9295
HumanEval_77_iscube,0.2,3,38.2714,12.7571
HumanEval_78_hex_key,0.2,3,230.0639,76.6880
HumanEval_79_decimal_to_binary,0.2,3,17.2823,5.7608
HumanEval_80_is_happy,0.2,3,326.6696,108.8899
HumanEval_81_numerical_letter_grade,0.2,3,373.4217,124.4739
HumanEval_82_prime_length,0.2,3,150.9884,50.3295
HumanEval_83_starts_one_ends,0.2,3,43.0554,14.3518
HumanEval_84_solve,0.2,3,78.3264,26.1088
HumanEval_85_add,0.2,3,95.3273,31.7758
HumanEval_86_anti_shuffle,0.2,3,43.5756,14.5252
HumanEval_87_get_row,0.2,3,368.8519,122.9506
HumanEval_88_sort_array,0.2,3,368.7969,122.9323
