task_name,temperature,num_completions,execution_time_s,time_per_completion_s
HumanEval_0_has_close_elements,0.2,3,5.2492,1.7497
HumanEval_1_separate_paren_groups,0.2,3,6.8220,2.2740
HumanEval_2_truncate_number,0.2,3,11.3905,3.7968
HumanEval_3_below_zero,0.2,3,4.4659,1.4886
HumanEval_4_mean_absolute_deviation,0.2,3,4.1276,1.3759
HumanEval_5_intersperse,0.2,3,16.0490,5.3497
HumanEval_6_parse_nested_parens,0.2,3,15.8126,5.2709
HumanEval_7_filter_by_substring,0.2,3,27.5745,9.1915
HumanEval_8_sum_product,0.2,3,3.5593,1.1864
HumanEval_9_rolling_max,0.2,3,20.1601,6.7200
HumanEval_10_make_palindrome,0.2,3,4.4039,1.4680
HumanEval_11_string_xor,0.2,3,3.5976,1.1992
HumanEval_12_longest,0.2,3,13.3618,4.4539
HumanEval_13_greatest_common_divisor,0.2,3,40.4016,13.4672
HumanEval_14_all_prefixes,0.2,3,28.6737,9.5579
HumanEval_15_string_sequence,0.2,3,11.1178,3.7059
HumanEval_16_count_distinct_characters,0.2,3,12.0098,4.0033
HumanEval_17_parse_music,0.2,3,15.1582,5.0527
HumanEval_18_how_many_times,0.2,3,3.3950,1.1317
HumanEval_19_sort_numbers,0.2,3,3.1007,1.0336
HumanEval_20_find_closest_elements,0.2,3,15.5577,5.1859
HumanEval_21_rescale_to_unit,0.2,3,24.3960,8.1320
HumanEval_22_filter_integers,0.2,3,7.7623,2.5874
HumanEval_23_strlen,0.2,3,28.0969,9.3656
HumanEval_24_largest_divisor,0.2,3,6.9562,2.3187
HumanEval_25_factorize,0.2,3,5.9743,1.9914
HumanEval_26_remove_duplicates,0.2,3,3.8021,1.2674
HumanEval_27_flip_case,0.2,3,4.2701,1.4234
HumanEval_28_concatenate,0.2,3,22.9040,7.6347
HumanEval_29_filter_by_prefix,0.2,3,23.6806,7.8935
HumanEval_30_get_positive,0.2,3,15.0390,5.0130
HumanEval_31_is_prime,0.2,3,5.4438,1.8146
HumanEval_33_sort_third,0.2,3,17.1291,5.7097
HumanEval_34_unique,0.2,3,25.9307,8.6436
HumanEval_35_max_element,0.2,3,28.4055,9.4685
HumanEval_36_fizz_buzz,0.2,3,4.8586,1.6195
HumanEval_37_sort_even,0.2,3,9.1177,3.0392
