task_name,temperature,num_completions,execution_time_s,time_per_completion_s
HumanEval_0_has_close_elements,0.0,1,2.0520,2.0520
HumanEval_1_separate_paren_groups,0.0,1,3.5527,3.5527
HumanEval_2_truncate_number,0.0,1,0.1505,0.1505
HumanEval_3_below_zero,0.0,1,1.1037,1.1037
HumanEval_4_mean_absolute_deviation,0.0,1,1.4674,1.4674
HumanEval_5_intersperse,0.0,1,1.5345,1.5345
HumanEval_6_parse_nested_parens,0.0,1,6.2165,6.2165
HumanEval_7_filter_by_substring,0.0,1,0.2225,0.2225
HumanEval_8_sum_product,0.0,1,1.2613,1.2613
HumanEval_9_rolling_max,0.0,1,1.8014,1.8014
HumanEval_10_make_palindrome,0.0,1,5.7346,5.7346
HumanEval_11_string_xor,0.0,1,1.3734,1.3734
HumanEval_12_longest,0.0,1,2.0150,2.0150
HumanEval_13_greatest_common_divisor,0.0,1,0.4936,0.4936
HumanEval_14_all_prefixes,0.0,1,0.9419,0.9419
HumanEval_15_string_sequence,0.0,1,0.7104,0.7104
HumanEval_16_count_distinct_characters,0.0,1,1.0714,1.0714
HumanEval_17_parse_music,0.0,1,2.3394,2.3394
HumanEval_18_how_many_times,0.0,1,1.0686,1.0686
HumanEval_19_sort_numbers,0.0,1,3.1491,3.1491
HumanEval_20_find_closest_elements,0.0,1,4.7628,4.7628
HumanEval_21_rescale_to_unit,0.0,1,1.3122,1.3122
HumanEval_22_filter_integers,0.0,1,0.3377,0.3377
HumanEval_23_strlen,0.0,1,0.0924,0.0924
HumanEval_24_largest_divisor,0.0,1,0.6346,0.6346
HumanEval_25_factorize,0.0,1,2.0708,2.0708
HumanEval_26_remove_duplicates,0.0,1,1.2729,1.2729
HumanEval_27_flip_case,0.0,1,1.8861,1.8861
HumanEval_28_concatenate,0.0,1,0.1065,0.1065
HumanEval_29_filter_by_prefix,0.0,1,0.1993,0.1993
HumanEval_30_get_positive,0.0,1,0.1930,0.1930
HumanEval_31_is_prime,0.0,1,0.9968,0.9968
HumanEval_33_sort_third,0.0,1,1.9405,1.9405
HumanEval_34_unique,0.0,1,0.3353,0.3353
HumanEval_35_max_element,0.0,1,0.1268,0.1268
HumanEval_36_fizz_buzz,0.0,1,2.6672,2.6672
HumanEval_37_sort_even,0.0,1,2.1635,2.1635
HumanEval_39_prime_fib,0.0,1,2.6147,2.6147
HumanEval_40_triples_sum_to_zero,0.0,1,2.4520,2.4520
HumanEval_41_car_race_collision,0.0,1,0.1046,0.1046
HumanEval_42_incr_list,0.0,1,1.3413,1.3413
HumanEval_43_pairs_sum_to_zero,0.0,1,1.5922,1.5922
HumanEval_44_change_base,0.0,1,0.9321,0.9321
HumanEval_45_triangle_area,0.0,1,0.1432,0.1432
HumanEval_46_fib4,0.0,1,4.6217,4.6217
HumanEval_47_median,0.0,1,1.9390,1.9390
HumanEval_48_is_palindrome,0.0,1,2.4132,2.4132
HumanEval_49_modp,0.0,1,0.8199,0.8199
HumanEval_51_remove_vowels,0.0,1,1.4779,1.4779
HumanEval_52_below_threshold,0.0,1,2.9470,2.9470
HumanEval_53_add,0.0,1,0.1059,0.1059
HumanEval_54_same_chars,0.0,1,1.8049,1.8049
HumanEval_55_fib,0.0,1,0.5049,0.5049
HumanEval_56_correct_bracketing,0.0,1,2.1895,2.1895
HumanEval_57_monotonic,0.0,1,2.5491,2.5491
HumanEval_58_common,0.0,1,2.9577,2.9577
HumanEval_59_largest_prime_factor,0.0,1,3.4494,3.4494
HumanEval_60_sum_to_n,0.0,1,0.6170,0.6170
HumanEval_61_correct_bracketing,0.0,1,1.7809,1.7809
HumanEval_62_derivative,0.0,1,3.0067,3.0067
HumanEval_63_fibfib,0.0,1,3.3201,3.3201
HumanEval_64_vowels_count,0.0,1,4.5282,4.5282
HumanEval_65_circular_shift,0.0,1,3.0240,3.0240
HumanEval_66_digitSum,0.0,1,5.5883,5.5883
HumanEval_67_fruit_distribution,0.0,1,0.7634,0.7634
HumanEval_68_pluck,0.0,1,3.1274,3.1274
HumanEval_69_search,0.0,1,5.4472,5.4472
HumanEval_70_strange_sort_list,0.0,1,1.6253,1.6253
HumanEval_71_triangle_area,0.0,1,3.0342,3.0342
HumanEval_72_will_it_fly,0.0,1,0.9393,0.9393
HumanEval_73_smallest_change,0.0,1,1.5301,1.5301
HumanEval_74_total_match,0.0,1,4.3869,4.3869
HumanEval_75_is_multiply_prime,0.0,1,1.3806,1.3806
HumanEval_76_is_simple_power,0.0,1,1.5587,1.5587
HumanEval_77_iscube,0.0,1,0.7394,0.7394
HumanEval_78_hex_key,0.0,1,1.9108,1.9108
HumanEval_79_decimal_to_binary,0.0,1,0.3462,0.3462
HumanEval_80_is_happy,0.0,1,2.8661,2.8661
HumanEval_81_numerical_letter_grade,0.0,1,34.0835,34.0835
HumanEval_82_prime_length,0.0,1,1.5268,1.5268
HumanEval_83_starts_one_ends,0.0,1,0.5336,0.5336
HumanEval_84_solve,0.0,1,0.9947,0.9947
HumanEval_85_add,0.0,1,1.3955,1.3955
HumanEval_86_anti_shuffle,0.0,1,3.2517,3.2517
HumanEval_87_get_row,0.0,1,4.5681,4.5681
HumanEval_88_sort_array,0.0,1,2.6777,2.6777
HumanEval_89_encrypt,0.0,1,4.0891,4.0891
HumanEval_90_next_smallest,0.0,1,4.7169,4.7169
HumanEval_91_is_bored,0.0,1,1.0214,1.0214
HumanEval_92_any_int,0.0,1,1.8085,1.8085
HumanEval_93_encode,0.0,1,13.2539,13.2539
