task_name,temperature,num_completions,execution_time_s,time_per_completion_s
HumanEval_0_has_close_elements,0.2,3,15.2473,5.0824
HumanEval_1_separate_paren_groups,0.2,3,24.4808,8.1603
HumanEval_2_truncate_number,0.2,3,1.9874,0.6625
HumanEval_3_below_zero,0.2,3,9.7426,3.2475
HumanEval_4_mean_absolute_deviation,0.2,3,8.3855,2.7952
HumanEval_5_intersperse,0.2,3,13.0685,4.3562
HumanEval_6_parse_nested_parens,0.2,3,30.0952,10.0317
HumanEval_7_filter_by_substring,0.2,3,1.3868,0.4623
HumanEval_8_sum_product,0.2,3,11.2369,3.7456
HumanEval_9_rolling_max,0.2,3,8.3682,2.7894
HumanEval_10_make_palindrome,0.2,3,28.3713,9.4571
HumanEval_11_string_xor,0.2,3,35.7777,11.9259
HumanEval_12_longest,0.2,3,13.7929,4.5976
HumanEval_13_greatest_common_divisor,0.2,3,6.8626,2.2875
HumanEval_14_all_prefixes,0.2,3,5.0097,1.6699
HumanEval_15_string_sequence,0.2,3,9.7847,3.2616
HumanEval_16_count_distinct_characters,0.2,3,9.9419,3.3140
HumanEval_17_parse_music,0.2,3,30.1299,10.0433
HumanEval_18_how_many_times,0.2,3,15.2090,5.0697
HumanEval_19_sort_numbers,0.2,3,3.6157,1.2052
HumanEval_20_find_closest_elements,0.2,3,31.4005,10.4668
HumanEval_21_rescale_to_unit,0.2,3,9.5301,3.1767
HumanEval_22_filter_integers,0.2,3,4.0062,1.3354
HumanEval_23_strlen,0.2,3,4.0171,1.3390
HumanEval_24_largest_divisor,0.2,3,5.8511,1.9504
HumanEval_25_factorize,0.2,3,9.5718,3.1906
HumanEval_26_remove_duplicates,0.2,3,7.4434,2.4811
HumanEval_27_flip_case,0.2,3,12.4633,4.1544
HumanEval_28_concatenate,0.2,3,4.1414,1.3805
HumanEval_29_filter_by_prefix,0.2,3,2.2287,0.7429
HumanEval_30_get_positive,0.2,3,11.5706,3.8569
HumanEval_31_is_prime,0.2,3,11.4757,3.8252
HumanEval_33_sort_third,0.2,3,55.5744,18.5248
HumanEval_34_unique,0.2,3,11.0569,3.6856
HumanEval_35_max_element,0.2,3,7.8778,2.6259
HumanEval_36_fizz_buzz,0.2,3,16.3777,5.4592
HumanEval_37_sort_even,0.2,3,23.8845,7.9615
HumanEval_39_prime_fib,0.2,3,20.8409,6.9470
HumanEval_40_triples_sum_to_zero,0.2,3,19.0509,6.3503
HumanEval_41_car_race_collision,0.2,3,39.3290,13.1097
HumanEval_42_incr_list,0.2,3,6.7760,2.2587
HumanEval_43_pairs_sum_to_zero,0.2,3,12.7854,4.2618
HumanEval_44_change_base,0.2,3,8.9219,2.9740
HumanEval_45_triangle_area,0.2,3,2.9986,0.9995
HumanEval_46_fib4,0.2,3,27.4313,9.1438
HumanEval_47_median,0.2,3,15.1888,5.0629
HumanEval_48_is_palindrome,0.2,3,4.7597,1.5866
HumanEval_49_modp,0.2,3,5.2027,1.7342
HumanEval_51_remove_vowels,0.2,3,15.1760,5.0587
HumanEval_52_below_threshold,0.2,3,7.8843,2.6281
HumanEval_53_add,0.2,3,3.3319,1.1106
HumanEval_54_same_chars,0.2,3,21.1873,7.0624
HumanEval_55_fib,0.2,3,7.4613,2.4871
HumanEval_56_correct_bracketing,0.2,3,56.8931,18.9644
HumanEval_57_monotonic,0.2,3,19.0163,6.3388
HumanEval_58_common,0.2,3,12.8614,4.2871
HumanEval_59_largest_prime_factor,0.2,3,10.6224,3.5408
HumanEval_60_sum_to_n,0.2,3,7.3848,2.4616
HumanEval_61_correct_bracketing,0.2,3,19.0759,6.3586
HumanEval_62_derivative,0.2,3,31.9754,10.6585
HumanEval_63_fibfib,0.2,3,25.3997,8.4666
HumanEval_64_vowels_count,0.2,3,14.2009,4.7336
HumanEval_65_circular_shift,0.2,3,14.8569,4.9523
HumanEval_66_digitSum,0.2,3,11.7966,3.9322
HumanEval_67_fruit_distribution,0.2,3,8.9707,2.9902
HumanEval_68_pluck,0.2,3,20.0273,6.6758
HumanEval_69_search,0.2,3,35.0988,11.6996
HumanEval_70_strange_sort_list,0.2,3,40.8983,13.6328
HumanEval_71_triangle_area,0.2,3,15.6231,5.2077
HumanEval_72_will_it_fly,0.2,3,50.6891,16.8964
HumanEval_73_smallest_change,0.2,3,16.7622,5.5874
HumanEval_74_total_match,0.2,3,30.1739,10.0580
HumanEval_75_is_multiply_prime,0.2,3,16.6555,5.5518
HumanEval_76_is_simple_power,0.2,3,11.4914,3.8305
HumanEval_77_iscube,0.2,3,5.9171,1.9724
HumanEval_78_hex_key,0.2,3,19.5693,6.5231
HumanEval_79_decimal_to_binary,0.2,3,4.3610,1.4537
HumanEval_80_is_happy,0.2,3,17.4046,5.8015
HumanEval_81_numerical_letter_grade,0.2,3,136.3568,45.4523
HumanEval_82_prime_length,0.2,3,9.2692,3.0897
HumanEval_83_starts_one_ends,0.2,3,9.6666,3.2222
HumanEval_84_solve,0.2,3,9.8740,3.2913
HumanEval_85_add,0.2,3,13.1750,4.3917
HumanEval_86_anti_shuffle,0.2,3,15.0351,5.0117
