task_name,temperature,num_completions,execution_time_s,time_per_completion_s
HumanEval_0_has_close_elements,0.2,3,19.4515,6.4838
HumanEval_1_separate_paren_groups,0.2,3,15.1268,5.0423
HumanEval_2_truncate_number,0.2,3,1.5523,0.5174
HumanEval_3_below_zero,0.2,3,11.5414,3.8471
HumanEval_4_mean_absolute_deviation,0.2,3,15.9420,5.3140
HumanEval_5_intersperse,0.2,3,15.8243,5.2748
HumanEval_6_parse_nested_parens,0.2,3,86.1459,28.7153
HumanEval_7_filter_by_substring,0.2,3,3.0746,1.0249
HumanEval_8_sum_product,0.2,3,15.6102,5.2034
HumanEval_9_rolling_max,0.2,3,20.2537,6.7512
HumanEval_10_make_palindrome,0.2,3,19.8868,6.6289
HumanEval_11_string_xor,0.2,3,15.8287,5.2762
HumanEval_12_longest,0.2,3,23.7780,7.9260
HumanEval_13_greatest_common_divisor,0.2,3,6.3987,2.1329
HumanEval_14_all_prefixes,0.2,3,11.1135,3.7045
HumanEval_15_string_sequence,0.2,3,13.3071,4.4357
HumanEval_16_count_distinct_characters,0.2,3,13.9315,4.6438
HumanEval_17_parse_music,0.2,3,47.6811,15.8937
HumanEval_18_how_many_times,0.2,3,20.5009,6.8336
HumanEval_19_sort_numbers,0.2,3,18.7693,6.2564
HumanEval_20_find_closest_elements,0.2,3,47.7319,15.9106
HumanEval_21_rescale_to_unit,0.2,3,13.4012,4.4671
HumanEval_22_filter_integers,0.2,3,3.3716,1.1239
HumanEval_23_strlen,0.2,3,4.0921,1.3640
HumanEval_24_largest_divisor,0.2,3,9.5120,3.1707
HumanEval_25_factorize,0.2,3,17.7560,5.9187
HumanEval_26_remove_duplicates,0.2,3,55.8013,18.6004
HumanEval_27_flip_case,0.2,3,26.4033,8.8011
HumanEval_28_concatenate,0.2,3,2.1650,0.7217
HumanEval_29_filter_by_prefix,0.2,3,3.9413,1.3138
HumanEval_30_get_positive,0.2,3,3.9962,1.3321
HumanEval_31_is_prime,0.2,3,26.7868,8.9289
HumanEval_33_sort_third,0.2,3,57.2459,19.0820
HumanEval_34_unique,0.2,3,8.2481,2.7494
HumanEval_35_max_element,0.2,3,4.0888,1.3629
HumanEval_36_fizz_buzz,0.2,3,17.5094,5.8365
HumanEval_37_sort_even,0.2,3,72.7913,24.2638
HumanEval_39_prime_fib,0.2,3,69.8421,23.2807
HumanEval_40_triples_sum_to_zero,0.2,3,26.5752,8.8584
HumanEval_41_car_race_collision,0.2,3,1.0375,0.3458
HumanEval_42_incr_list,0.2,3,2.5210,0.8403
HumanEval_43_pairs_sum_to_zero,0.2,3,16.8060,5.6020
HumanEval_44_change_base,0.2,3,11.3753,3.7918
HumanEval_45_triangle_area,0.2,3,2.5629,0.8543
HumanEval_46_fib4,0.2,3,67.9144,22.6381
HumanEval_47_median,0.2,3,24.3538,8.1179
HumanEval_48_is_palindrome,0.2,3,4.1654,1.3885
HumanEval_49_modp,0.2,3,2.2821,0.7607
HumanEval_51_remove_vowels,0.2,3,14.5605,4.8535
HumanEval_52_below_threshold,0.2,3,8.8732,2.9577
HumanEval_53_add,0.2,3,1.3760,0.4587
HumanEval_54_same_chars,0.2,3,13.8495,4.6165
HumanEval_55_fib,0.2,3,6.4746,2.1582
HumanEval_56_correct_bracketing,0.2,3,24.6847,8.2282
HumanEval_57_monotonic,0.2,3,27.7234,9.2411
HumanEval_58_common,0.2,3,8.3761,2.7920
HumanEval_59_largest_prime_factor,0.2,3,14.6523,4.8841
HumanEval_60_sum_to_n,0.2,3,8.9445,2.9815
HumanEval_61_correct_bracketing,0.2,3,23.9278,7.9759
HumanEval_62_derivative,0.2,3,7.6217,2.5406
HumanEval_63_fibfib,0.2,3,40.3417,13.4472
HumanEval_64_vowels_count,0.2,3,33.3024,11.1008
HumanEval_65_circular_shift,0.2,3,21.3521,7.1174
HumanEval_66_digitSum,0.2,3,24.0239,8.0080
HumanEval_67_fruit_distribution,0.2,3,47.8595,15.9532
HumanEval_68_pluck,0.2,3,40.8217,13.6072
HumanEval_69_search,0.2,3,49.9357,16.6452
HumanEval_70_strange_sort_list,0.2,3,96.6298,32.2099
HumanEval_71_triangle_area,0.2,3,38.7084,12.9028
HumanEval_72_will_it_fly,0.2,3,61.4392,20.4797
HumanEval_73_smallest_change,0.2,3,22.7819,7.5940
HumanEval_74_total_match,0.2,3,12.7137,4.2379
HumanEval_75_is_multiply_prime,0.2,3,39.3311,13.1104
HumanEval_76_is_simple_power,0.2,3,20.2044,6.7348
HumanEval_77_iscube,0.2,3,5.2301,1.7434
HumanEval_78_hex_key,0.2,3,23.1685,7.7228
HumanEval_79_decimal_to_binary,0.2,3,7.1232,2.3744
HumanEval_80_is_happy,0.2,3,54.5006,18.1669
HumanEval_81_numerical_letter_grade,0.2,3,181.5398,60.5133
HumanEval_82_prime_length,0.2,3,117.3211,39.1070
HumanEval_83_starts_one_ends,0.2,3,12.4729,4.1576
HumanEval_84_solve,0.2,3,30.4443,10.1481
HumanEval_85_add,0.2,3,15.0666,5.0222
HumanEval_86_anti_shuffle,0.2,3,9.1286,3.0429
HumanEval_87_get_row,0.2,3,75.0167,25.0056
HumanEval_88_sort_array,0.2,3,15.3558,5.1186
HumanEval_89_encrypt,0.2,3,45.4123,15.1374
HumanEval_90_next_smallest,0.2,3,55.6338,18.5446
HumanEval_91_is_bored,0.2,3,23.7266,7.9089
HumanEval_92_any_int,0.2,3,20.4216,6.8072
HumanEval_93_encode,0.2,3,60.2952,20.0984
HumanEval_94_skjkasdkd,0.2,3,60.5600,20.1867
HumanEval_95_check_dict_case,0.2,3,32.4112,10.8037
HumanEval_96_count_up_to,0.2,3,62.8042,20.9347
HumanEval_97_multiply,0.2,3,5.8971,1.9657
HumanEval_98_count_upper,0.2,3,31.5979,10.5326
HumanEval_99_closest_integer,0.2,3,28.5911,9.5304
HumanEval_100_make_a_pile,0.2,3,29.6348,9.8783
HumanEval_101_words_string,0.2,3,4.3892,1.4631
HumanEval_102_choose_num,0.2,3,24.1207,8.0402
HumanEval_103_rounded_avg,0.2,3,30.1257,10.0419
HumanEval_104_unique_digits,0.2,3,56.4452,18.8151
HumanEval_105_by_length,0.2,3,41.4094,13.8031
HumanEval_106_f,0.2,3,88.9309,29.6436
HumanEval_107_even_odd_palindrome,0.2,3,49.5787,16.5262
HumanEval_108_count_nums,0.2,3,70.8348,23.6116
HumanEval_109_move_one_ball,0.2,3,32.3196,10.7732
HumanEval_110_exchange,0.2,3,46.0966,15.3655
HumanEval_111_histogram,0.2,3,31.0499,10.3500
HumanEval_112_reverse_delete,0.2,3,19.5271,6.5090
HumanEval_113_odd_count,0.2,3,44.2252,14.7417
HumanEval_114_minSubArraySum,0.2,3,35.5214,11.8405
HumanEval_115_max_fill,0.2,3,36.5927,12.1976
HumanEval_116_sort_array,0.2,3,154.6770,51.5590
HumanEval_117_select_words,0.2,3,87.8690,29.2897
HumanEval_118_get_closest_vowel,0.2,3,52.8836,17.6279
HumanEval_119_match_parens,0.2,3,93.9332,31.3111
HumanEval_120_maximum,0.2,3,9.9490,3.3163
